"id","question","choice_a","choice_b","choice_c","choice_d","answer","explanation"
"1","接合法の分類において、溶接に該当するものはどれか。","リベットによる接合","焼ばめによる接合","ボルトによる接合","冶金的に接合面が結合した材質的結合","d","接合は機械的接合法と材質的結合に大別され、後者の冶金的に接合面が結合した材質的結合を溶接という。"
"2","溶接の分類として、正しい組合せはどれか。","ろう接、ボルト接合、焼ばめ","融接、圧接、ろう接","融接、鋳接、機械的接合","圧接、鍛接、リベット接合","b","溶接は、熱源を用いて接合面同士を互いに溶融して凝固させる融接、圧力を加えて冶金的に結合した圧接、及びろう接に分類される。"
"3","機械的接合法と比較した溶接の長所として、適切でないものはどれか。","局部加熱と局部冷却が起こらない","気密性、水密性がよい","継手効率が高い","重量の軽減が可能である","a","溶接の短所として、局部加熱と局部冷却が起こるので変形や残留応力が生じることがあげられる。"
"4","完全溶込み溶接の設計指示箇所に部分溶込みが生じた場合について、正しい記述はどれか。","かえって残留応力が低減する","応力集中を伴う溶込み不良の典型的な溶接欠陥となる","不溶着部の寸法が管理されていれば応力集中は生じない","強度上まったく問題はない","b","完全溶込みの設計指示の箇所に部分溶込みが生じると、応力集中を伴う溶込み不良の典型的な溶接欠陥となるため、設計上及び管理上の注意が必要である。"
"5","すみ肉溶接における脚長の定義として、正しいものはどれか。","余盛の高さ","継手のルートからすみ肉溶接の止端までの距離","二等辺三角形の底辺の長さ","すみ肉溶接部の厚さ","b","脚長とは、継手のルートからすみ肉溶接の止端までの距離のことである。"
"6","すみ肉溶接におけるサイズと脚長の関係として、正しいものはどれか。","サイズは脚長より大きくなることはない","両者に関係はない","サイズと脚長は常に等しい","サイズは常に脚長より大きい","a","サイズは、継手のルート部を頂角とした二等辺三角形が余盛部をはみ出さない最大の形状の短辺の長さであり、サイズは脚長より大きくなることはない。"
"7","被覆アーク溶接の被覆材（フラックス）の機能として、適切でないものはどれか。","生成したガスでアーク周辺を覆い、大気の酸素や窒素の溶接金属への侵入を防ぐ","溶接金属の脱酸精錬を行う","スラグにより溶接金属の急冷を助長する","アークを安定化する","c","溶接金属を覆ったスラグは、溶接金属の急冷を防ぐ働きをする。急冷を助長するのではない。"
"8","イルミナイト系被覆アーク溶接棒の特徴として、正しいものはどれか。","高価で溶接性に劣る","溶接部の水素含有量を低く抑えられる","種々の姿勢に対応できない","溶接がしやすく安価であるが、溶接部の水素含有量が高くなる","d","イルミナイト系は溶接がしやすく正常な溶接ビードを得やすく種々の姿勢に対応でき安価であるが、溶接部の水素含有量が高くなり、合金成分が高い場合には水素割れを起こしやすい。"
"9","低水素系被覆アーク溶接棒の特徴として、正しいものはどれか。","機械的性質に劣る","イルミナイト系より溶接のしやすさに優れる","水素含有量が高く水素割れを起こしやすい","溶接部の水素含有量を低く抑えることができ、高張力鋼や厚板、拘束の大きい構造物に使用される","d","低水素系は溶接部の水素含有量を低く抑えることができ、合金成分の高い高張力鋼、厚板の溶接や拘束の大きい構造物に使用される。溶接のしやすさはイルミナイト系に劣る。"
"10","マグ溶接で用いられるシールドガスとして、正しいものはどれか。","Arのみ","窒素ガス","Heのみ","炭酸ガス又はAr-CO2混合ガス","d","マグ溶接では、溶接金属中への酸素や窒素の侵入を防ぐために炭酸ガス又はAr-CO2混合ガスを流す。"
