id,question,choice_a,choice_b,choice_c,choice_d,choice_e,answer,explanation
1,"放射線感受性に関する次の記述のうち、ベルゴニー・トリボンドーの法則に従っていないものはどれか。","リンパ球は、骨髄中だけでなく、末梢血液中においても感受性が高い。","皮膚の基底細胞層は、角質層より感受性が高い。","小腸の腺窩細胞(クリプト細胞)は、絨毛先端部の細胞より感受性が高い。","骨組織は、一般に放射線感受性が低いが、小児では比較的高い。","脳の神経組織の放射線感受性は、成人では低いが、胎児では高い時期がある。",a,"ベルゴニー・トリボンドーの法則は「細胞分裂頻度が高い」「将来行う分裂回数が多い」「形態・機能が未分化」な細胞ほど感受性が高いというもの。リンパ球は分裂していない成熟細胞でも感受性が高く、この法則に従っていない例外である。"
2,"次のAからCの人体の組織・器官について、放射線感受性の高いものから順に並べたものは(1)〜(5)のうちどれか。A 毛のう B 小腸粘膜 C 甲状腺","A, B, C","A, C, B","B, A, C","B, C, A","C, A, B",c,"放射線感受性は小腸粘膜が最も高く、次いで毛のう、甲状腺の順である。"
3,"エックス線被ばくによる造血器官及び血液に対する影響に関する次の記述のうち、正しいものはどれか。","人が全身にLD50/60に相当する線量を被ばくしたときの主な死因は、造血器官の障害である。","造血器官である骨髄のうち、脊椎の中にあり、造血幹細胞の分裂頻度が極めて高いものは脊髄である。","末梢血液中の血球数の減少は、被ばく量が1Gy程度までは認められない。","末梢血液中の血球のうち、被ばく後減少が現れるのが最も遅いものは血小板である。","末梢血液中の赤血球の減少は貧血を招き、血小板の減少は感染に対する抵抗力を弱める原因となる。",a,"LD50/60（60日間で50%が死亡する線量）を被ばくした場合、主な死因は造血器官（骨髄）の障害による造血機能不全である。"
4,"放射線の被ばくによる確率的影響と確定的影響に関する次の記述のうち、誤っているものはどれか。","確率的影響では、被ばくした集団中の影響の発生確率は、被ばく線量の増加とともに増加する。","確定的影響では、被ばく線量と影響の発生確率との関係が、シグモイド曲線で示される。","遺伝的影響には、確率的影響に分類されるものと確定的影響に分類されるものがある。","早期影響は、全て確定的影響に分類される。","しきい線量は、確定的影響には存在するが、確率的影響には存在しないと考えられている。",c,"遺伝的影響は全て確率的影響に分類される。確定的影響に分類されるものはない。"
5,"放射線による身体的影響に関する次の記述のうち、誤っているものはどれか。","身体的影響には、その重篤度が、被ばく線量に依存するものとしないものがある。","放射線により眼の水晶体上皮細胞に障害を受けると、白内障が発生する。","放射線による不妊は、晩発影響に分類される。","白血病以外の放射線による発がんは、一般に、がん好発年齢に達したころから増加するので、被ばく時の年齢が若いほど潜伏期が長くなる。","放射線による白血病は、被ばく線量が大きくなるほど潜伏期が短くなる。",c,"放射線による不妊は、早期影響（確定的影響）に分類される。晩発影響ではない。"
6,"次のAからDの放射線影響について、その発症にしきい線量が存在するものの全ての組合せは(1)〜(5)のうちどれか。A 白血球減少 B 永久不妊 C 甲状腺がん D 脱毛","A, B, D","A, C","A, C, D","B, C","B, D",a,"しきい線量が存在するのは確定的影響である。白血球減少、永久不妊、脱毛は確定的影響でしきい線量がある。甲状腺がんは確率的影響でしきい線量はない。"
7,"生物効果比（RBE）に関する次の記述のうち、正しいものはどれか。","RBEは、ある反応を起こす基準放射線の吸収線量÷同じ反応を起こす試験放射線の吸収線量で定義される。","RBEを求めるための基準となる放射線としては、60Coのベータ線が用いられる。","培養細胞の致死作用に関するRBEは、放射線の線エネルギー付与(LET)が高くなるにつれて増大し、最大値に達した後はほぼ一定の値となる。","ある生物効果についてのRBEの値は、同じ線質の放射線であれば、線量率、温度、酸素分圧などの照射条件が異なっても変わらない。","エックス線は、そのエネルギーの高低にかかわらず、RBEが1より小さい。",a,"RBEの定義式は「基準放射線の吸収線量÷試験放射線の吸収線量」で正しい。"
8,"組織加重係数に関する次のAからDの記述のうち、正しいものの組合せは(1)〜(5)のうちどれか。A 組織加重係数は、各組織・臓器の確率的影響に対する相対的な放射線感受性を表す係数である。B 組織加重係数が最も大きい組織・臓器は、生殖腺である。C 組織加重係数は、どの組織・臓器においても1より小さい。D 被ばくした組織・臓器の平均吸収線量に組織加重係数を乗ずることにより、等価線量を得ることができる。","A, B","A, C","B, C","B, D","C, D",b,"Aが正しい（組織加重係数は確率的影響に対する相対的感受性を表す）。Cが正しい（組織加重係数は全て1未満で、合計が1になる）。Bは誤り（最も大きいのは骨髄、結腸、肺、胃、乳房等）。Dは誤り（等価線量は吸収線量×放射線加重係数）。"
9,"放射線による生物効果に関する次の現象のうち、放射線の間接作用によって説明することができないものはどれか。","エックス線光子と生体内の水分子を構成する原子との相互作用の結果生成されたラジカルが、生体高分子に損傷を与える。","温度が低下すると、放射線の生物効果は減少する。","生体中にシステイン、システアミンなどのSH基をもつ化合物が存在すると、放射線の生物効果は軽減する。","溶液中の酵素の濃度を変えて一定線量の放射線を照射するとき、不活性化される酵素の分子数は酵素の濃度に比例する。","溶液中の酵素の濃度を変えて一定線量の放射線を照射するとき、酵素の濃度が減少するに従って、酵素の全分子のうち、不活性化される分子の占める割合は増加する。",d,"溶液中の酵素濃度を変えて一定線量照射した場合、間接作用が主であれば不活性化される分子数は酵素濃度に依存しない（ラジカル数が一定のため）。(4)は直接作用の説明である。"
10,"放射線による遺伝的影響に関する次の記述のうち、正しいものはどれか。","生殖腺が被ばくしたときに生じる障害は、全て遺伝的影響である。","親の体細胞に突然変異が生じると、子孫に遺伝的影響が生じる。","胎児期に被ばくし、成長した子供には、その後に遺伝的影響を起こすことはない。","胎内被ばくを受け、出生した子供にみられる発育遅延は、遺伝的影響である。","倍加線量は、放射線による遺伝的影響を推定する指標とされ、その値が大きいほど遺伝的影響は起こりにくい。",e,"倍加線量は、自然突然変異率を2倍にする線量であり、この値が大きいほど遺伝的影響は起こりにくいことを意味する。"
