id,question,choice_a,choice_b,choice_c,choice_d,choice_e,answer,explanation,image
1,次の文は渦流探傷試験を適用する試験体について述べたものである。正しいものを一つ選べ。,強磁性体でなければならない。,非磁性体でなければならない。,導体でなければならない。,絶縁体でなければならない。,,c,1P 1.1,
2,次の文は渦流探傷試験の原理について述べたものである。正しいものを選べ。,試験コイルに直流電流を流すと，試験体内に渦電流が誘導されることを利用する。,試験体表面のきずによって，渦電流の流れが変化することを利用する。,渦電流の周波数が，きずによって変化することを利用する。,試験体表面のきずの部分が磁気飽和することを利用する。,,b,（新問題集に解説あり） 50P 4.1.2 図4.1.4 図4.1.4 のとおり。(b)が正しい。 (a)の直流では渦電流は誘導されない。,
3,導体を流れる電流について、正しいものを一つ選べ。,電流は電荷の移動であり、導体中では陽子が電荷を運ぶ。,導体中では電子が移動することにより電流が形成される。,導体中では原子核が移動することにより電流が形成される。,導体中の電流は陽子と電子が反対方向に移動することによって形成される。,,b,8P 2.2.1 (b)導体中では電子が移動することにより電流が形成される。,
4,導体に電界をかけると電動電流が流れるが、この電流を形成する正しいものを一つ選べ。,原子核,自由電子,陽子,陽子と自由電子,,b,8P 2.2.1 (b)自由電子となって結晶内を移動する。,
5,次の文は、渦流探傷試験の適用について述べたものである。正しいものを選べ。,セラミックスの割れの検査に適用できる。,コンクリートの割れの検査に適用できる。,テフロン管の割れの検査に適用できる。,銅合金管の割れの検査に適用できる。,,d,3P 1.5 (ｄ)が正しい。 その他は非導電体のため。☓,
6,"次の文は,渦電流探傷試験の長所について述べたものである。正しいものを一つ選びなさい。",試験体内部のきずが検出できる。,非導電体の探傷試験ができる。,非接触で探傷試験ができる。,きずの形状が検出できる。,,c,2P 1.3，3P 1.5 (a)は表皮効果（52P 4.2）により，試験体内部まで渦電流が届かない。☓ (b)非導電体は渦電流が流れないので☓。 (c)○ (d)きずの形状寸法は正確に把握できない。☓ 注＞(c)非接触なので高温における探傷が可能となる。,
7,"次の文は,渦電流探傷試験の特徴について述べたものである。正しいものを一つ選びなさい。",導電性の試験体内部の深い位置にあるきずの検出に適する。,非磁性体はもちろん，強磁性体の金属の探傷試験にも適用できる。,試験プローブは試験体に接触する必要がある。,薄肉の金属管の探傷試験には適さない。,,b,（新問題集に解説あり） 2P 1.3，3P 1.5 (a)は表皮効果（52P 4.2）により，試験体内部まで渦電流が届かない。☓ (b)○ (c)コイルを使った電磁誘導により試験体に渦電流を発生させるので，ほぼ非接触なので☓。 (d)薄肉なので，表皮効果（52P 4.2）があっても渦電流が裏面まで届きやすく，適用しやすい。☓ 注＞(b)が正解であるが、「適用できる」⇒「適用も可能である」が適切かと思われる。,
8,次の文は，渦電流探傷試験において試験体に誘導される渦電流について述べたものである。正しいも のを一つ選び，記号で答えなさい。,コイルの熱の作用によって誘導される。,コイルの磁束の作用によって誘導される。,コイルの表皮効果によって試験体に誘導される。,コイルの端末効果によって試験体に誘導される。,,b,（新問題集に解説あり） 49P 4.1 及び図4.1.1 参照 コイルの磁束変化の作用により試験体に渦電流 ．．． が誘導される。,
9,渦電流探傷試験の指示に影響を与えないもの ．．．．．．．．． は，次のうちどれか。正しいものを一つ選び記号で答えな さい。,周波数,透磁率,誘電率,充填率,,c,＊影響を与えないものを選ぶ 61P 4.5 c)誘電率は，電荷とそれが及ぼすクーロン力の関係を示す係数である。電荷の代表は電子である。金属 中の電子の一部は自由電子となり，クーロン力などで金属中を移動できる。電位差などにより自由電子 がまとまって移動すると，これが電流である。渦電流試験では，電流が流れるとその周りに磁界ができ たり，磁界の変化があるとそこに置いた金属に電位差ができるということを原理としており，誘電率の 直接的な関係はないと考えてよい。その他は4.5 項の解説に示されている。,
12,次の文は，渦電流探傷試験の短所 ．． について述べたものである。正しいものを一つ選びなさい。,探傷速度が遅い。,試験体に接触しなければならない。,試験の自動化が容易でない。,一般に試験体内部の探傷が困難である。,,d,＊短所を選ぶ 2P 1.3，3P 1.5 (d) 内在きずに対しては表皮効果（52P 4.2）により，試験体内部まで渦電流が届かない。 短所として〇,
13,次は渦電流探傷試験によって最も検出しやすいと考えられるきずについて述べたものである。正しい ものを一つ選べ。,渦電流と同じ方向の割れ,渦電流と直角方向の割れ,試験体裏側の小さな割れ,ピンホール,,b,65P 4.5.6 もっとも検出し易いきずの向きは，渦電流を遮る向き（渦電流と直角方向）の短い割れである。 (b)が正しい。 一方，貫通プローブや内挿プローブでは，軸方向の長い割れは渦電流と直角方向であるが，プローブ走 査方向が同じ方向になり，差動方式ではプローブ全体が長い割れの下にあるときインピーダンス変化が なくなるので，検出し難いことに注意する。(a)の渦電流と同じ方向の割れは，渦電流の流れを妨げな いので検出し難い。 補＞この問題は、渦電流に対し同じ方向か？直角方向？で判断する。 (c)表面に平行な内部割れ。⇒二枚割れのことでありＵＴに適する。,
14,次は導体の抵抗率を表す式である。正しいものを選べ。ただしρ：抵抗率（Ωm）R：導体の電気抵抗 （Ω）、ℓ：導体の長さ（ｍ）、S:導体の断面積（m2）である。,ρ＝RS/ℓ²,ρ＝Rℓ/S,ρ＝ℓ/RS,ρ＝RS/ℓ,,d,（新問題集に解説あり） 36P 3.2.2 3.2 式 3.2 式のとおりｄ）が正しい。,
15,次のうち巻数が 10 回のコイルに，0.2 秒間に一様な割合で 0.05 Wb の磁束が変化した場合，コイ ルに発生する起電力(V)はどれか。正しいものを一つ選び記号で答えよ。,0.25,2.5,25,50,,b,17P 2.4.1 2.34式 この問題では電磁誘導における基本的な知識が問われている。ファラデーの法則としてよく知られる ように，コイルを貫通する磁束が変化すると下式で示される電圧e(V)が発生する。 𝑒= −𝑁𝑑𝜑 𝑑𝑡 ここでＮ：コイル巻き数，φ：磁束(Wb)である。 題意の0.2 秒間に一様な割合で 0.05 Wb の磁束の変化は，単位時間で 0.25 Wb の変化であり，コイ ルの巻数 10 回を乗じで発生起電力は 2.5 V となる。したがって，正答は(b)である。,
16,円形のコイルに流れる電流を I[A]，円の半径をR[m]，巻数を N［回］とすると，円形電流の中心にお ける磁界の強さは次のうちどれか。正しいものを一つ選び，記号で答えよ。,IN2/2R2,NI/2R,NR/2I,N2I/2R,,b,14P 2.3.3 図2.3.5および式2.25 ビオ・サバールの法則より，𝑑𝐻= 𝐼𝑑ℓsin 𝜃 4𝜋𝑟2 （式2.22） 図 1 に示すとおり，半径 r の円形コイルに電流 I を流したとき にコイルの中心 O に発生する磁界は，半径 r の長さは一定で，素 片電流 Idℓ と半径 r のなす角は円周上の任意の位置において常 にπ/2 であるから， sin θ は円周上どこでも 1 であり， 𝐻= 𝐼 4𝜋𝑟2 ∙2𝜋𝑟= 𝐼 2𝑟 これは1 回巻きの磁界の強さ。N 回巻きでは𝑯= 𝑁𝐼 2𝑟 したがって，正答は(b)となる。 補＞以下も理解しておくこと。 円形電流の中心の磁界：図2.3.5 および2.24 式 𝐻＝𝐼2𝑟 ⁄ 直線電流の磁界：図2.3.3 および2.25 式 𝐻＝𝐼2𝜋𝑟 ⁄ 長いソレノイドコイル内の磁界：図2.3.6 および2.26 式 𝐻= 𝑛𝐼,
17,次の式は，真直ぐな電線に電流I（A）が流れているとき，電線中心からr（m）離れた点の磁界の強さ H（A/m）を表わすものである。次の中から正しいものを一つ選び，記号で答えなさい。,𝐻＝2𝜋𝑟/𝐼,𝐻＝𝐼/2𝜋𝑟,𝐻＝1/2𝜋𝑟,𝐻＝𝑟𝐼/2𝜋,,b,14P 2.3.3 図2.3.5および式2.25 アンペアの周回積分の法則（磁粉探傷試験レベル2 テキストより）：磁界の強さが一定H[A/m]のところを 一周したときの経路の長さをℓ[m]とするとき，Hℓ=I が成り立つ。 ℓは半径r の円の円周なので2πr。従って，H＝𝐼ℓ= 𝐼2𝜋𝑟 ⁄ ⁄ となる。 補＞以下も理解しておくこと。 円形電流の中心の磁界：図2.3.5 および2.24 式 𝐻＝𝐼2𝑟 ⁄ 直線電流の磁界：図2.3.3 および2.25 式 𝐻＝𝐼2𝜋𝑟 ⁄ 長いソレノイドコイル内の磁界：図2.3.6 および2.26 式 𝐻= 𝑛𝐼 「Ｉ」と「１」を間違えぬように。,
18,図は交流正弦波電流i と電圧v の波形を示している。電圧v の位相は電流ｉに対してどのような関係に あるか、正しいものを一つ選べ。,π/2（rad）進んでいる。,π/2（rad）遅れている。,π/4（rad）進んでいる。,π/4（rad）遅れている。,,a,25P 2.6.1 図2.6.2 及び図2.6.4 電流は 𝑖(𝑡) = 𝐼𝑚sin(𝜔𝑡) である。これに対し電圧は同じ周波数（ω = 2πf）の正弦波である。電圧の正 弦波の始点 v(𝑡) = 0 が電流に対し，π/2 だけ左にずれて（位相が進んで）いる。この正弦波は v(𝑡) = 𝑉𝑚sin (𝜔𝑡+ 𝜋 2) で表され，a)が正しい。 注＞電流と電圧，どちらを基準とするかで位相の遅れ，進みの表現が変わるので，注意すること。,et_2022_04_q18.png
19,次の文はコイルのインダクタンスについて述べたものである。正しいものを一つ選べ。ただし、コイル に置かれた媒質の電気・磁気的性質は一定とする。,コイルの巻数に比例する。,コイルの巻数の2 乗に比例する。,コイルの巻数に反比例する。,コイルの巻数の2 乗に反比例する。,,b,旧ETⅡテキスト11P 2.5.4 式2.32（2016版にはこの解説がなくなった） 𝐿= 𝜇0𝛼2𝑁2 （旧テキスト11P 2.32 式） ただし，𝐿：インダクタンス，μ0：透磁率(ミューゼロ；ここは真空の透磁率で表されているが，コイルだ けの場合の周囲は通常空気（非磁性体）であり比透磁率μr が1 なので，空気中の透磁率＝真空の透磁率 としている。)， 𝛼：コイルの形状寸法に依存する係数(アルファー)，𝑁：コイルの巻き数。 注＞旧テキスト11P 2.32 式は（コイルの）電流が流れる形状，コイル内の透磁率から自己インダクタン スを求める方法であり，巻き数N は2 乗に比例するとなっている。一方，新テキストではNφ=LI （新テ キスト16P 2.33 式）で示され，全磁束と電流で自己インダクタンスが示され，巻き数N は2 乗になって いないことに注意。,
20,次の文は，コイルのインダクタンスについて述べたものである。次の中から正しいものを一つ選び，記 号で答えなさい。,コイルの巻数の２乗と媒質の透磁率に反比例する。,コイルの巻数の２乗に反比例し，媒質の透磁率に反比例する。,コイルの巻数の２乗に比例し，媒質の透磁率に反比例する。,コイルの巻数の２乗と媒質の透磁率に比例する。,,d,16P 2.3.5 2.33 式，17P 2.4.1 2.34 式 2.34´式，旧ET2 テキスト1995 版11P 2.32 式 インダクタンスと巻き数の関係の結論は𝐿∝𝑁2であるが，2.33 式 𝑁φ = 𝐿𝐼 はそうならない。 ここでソレノイドコイルを考える。 長さ ℓ [m] ，断面積 S [m2]，単位長さ当たりの巻き数 n [回/m] ，巻き数 N (=nℓ) のコイルがあり， 内部の透磁率 はμ [H/m] とする。流れる電流の大きさを I [A] である。 I [A] の大きさの電流が流れるとき、コイル内部の磁束密度B [Wb/m2] は，ソレノイドコイルでは 2.26 式より， B = μH＝μnI 磁束 Φ [Wb] は，これに断面積 S を掛けたもの， Φ = BS = μnIS 発生する誘導起電力 V [V] は， 𝑉= − 𝑁 𝑑𝛷 𝑑𝑡・・・・2.34 式 Φ＝μnIS のうち変化する量は I であり，N＝nℓだから， 𝑉= − 𝑁 𝑑𝛷 𝑑𝑡= −𝑁 𝜇𝑛𝑆𝑑𝑖 𝑑𝑡 ＝− 𝜇𝑁2𝑆 ℓ ∙ 𝑑𝑖 𝑑𝑡・・・・① 2.34 式は下のようにも表せる。 𝑉= −𝐿 𝑑𝑖 𝑑𝑡・・・・2.34´式 従って，①と2.34´式より， 𝐿＝𝜇𝑁2𝑆 ℓ ゆえに(d)が正しい。 補＞新問題集問2.15 の解説も参照。,
