id,question,choice_a,choice_b,choice_c,choice_d,choice_e,answer,explanation
1,放射線に関連した量とその単位の組合せとして、誤っているものはどれか。,吸収線量…Gy,線減弱係数…m^-1,カーマ…Gy,粒子フルエンス…J・m^-2,等価線量…J・kg^-1,d,粒子フルエンスの単位はm^-2(個数/面積)であり、J・m^-2ではない。
2,気体の電離を利用する放射線検出器の印加電圧と生じる電離電流の特性に対応した次のAからDの領域について、気体(ガス)増幅が生じ、検出器として利用されるものの組合せはどれか。A:再結合領域 B:電離箱領域 C:比例計数管領域 D:GM計数管領域,A、B,A、C,B、C,B、D,C、D,e,気体増幅が生じるのは比例計数管領域とGM計数管領域である。
3,放射線検出器とそれに関係の深い用語との組合せとして、正しいものはどれか。,電離箱…窒息現象,比例計数管…グロー曲線,GM計数管…電子なだれ,シンチレーション検出器…G値,半導体検出器…ラジオフォトルミネセンス,c,GM計数管は電子なだれ(ガス増幅)により動作する。
4,エックス線の測定に用いるNaI(Tl)シンチレーション検出器に関する次の記述のうち、誤っているものはどれか。,シンチレータとして用いられるヨウ化ナトリウム結晶は、微量のタリウムを含有させて活性化されている。,シンチレータにエックス線が入射すると、可視領域の減衰時間の短い光が放射される。,シンチレータから放射された光は、光電子増倍管の光電面で光電子に変換され、増倍された後、電流パルスとして出力される。,光電子増倍管から得られる出力パルス波高は、入射エックス線の線量率に比例する。,光電子増倍管の増倍率は、印加電圧に依存するので、光電子増倍管に印加する高圧電源は安定化する必要がある。,d,出力パルス波高は入射エックス線のエネルギーに比例し、線量率には比例しない。
5,次のエックス線とその測定に用いるサーベイメータの組合せのうち、適切でないものはどれか。,0.1μSv/h程度の線量率のエックス線…NaI(Tl)シンチレーション式サーベイメータ,湿度の高い場所における100μSv/h程度の線量率のエックス線…GM計数管式サーベイメータ,50mSv/h程度の線量率で、散乱線を多く含むエックス線…GM計数管式サーベイメータ,100keV程度のエネルギーで、10μSv/h程度の線量率のエックス線…半導体式サーベイメータ,300keV程度のエネルギーで、10mSv/h程度の線量率のエックス線…電離箱式サーベイメータ,c,GM計数管式は高線量率でエネルギー特性が悪く、散乱線を多く含む測定には不適切。
6,蛍光ガラス線量計に関する次の記述のうち、正しいものはどれか。,放射線により生成された蛍光中心が紫外線の照射によって発光する、輝尽性蛍光という現象を利用した線量計である。,読み取り装置で線量を読み取ることによって蛍光中心が消えてしまうため、再度読み取ることはできない。,線量計の素子間の感度のばらつきが少なく、また、フェーディングは極めて小さい。,測定可能な線量の範囲は、熱ルミネセンス線量計より広く、0.1μSv～100Sv程度である。,素子は、光学的アニーリングにより、再度使用することができる。,c,蛍光ガラス線量計は素子間のばらつきが少なく、フェーディングも極めて小さい特徴がある。
7,放射線防護のための被ばく線量の算定に関する次のAからDの記述について、誤っているものの組合せはどれか。A:外部被ばくによる実効線量は、法令に基づき放射線測定器を装着した各部位の1cm線量当量及び70μm線量当量を用いて算定する。B:皮膚の等価線量は、エックス線については70μm線量当量により算定する。C:眼の水晶体の等価線量は、放射線の種類及びエネルギーに応じて、1cm線量当量、3mm線量当量又は70μm線量当量のうちいずれか適切なものにより算定する。D:妊娠中の女性の腹部表面の等価線量は、腹・大腿部における70μm線量当量により算定する。,A、B,A、C,A、D,B、C,B、D,c,Aは70μm線量当量を使わない。Dは1cm線量当量を使用する。
8,放射線の測定などについての用語に関する次の記述のうち、正しいものはどれか。,半導体検出器において、放射線が半導体中で1個の電子・正孔対を作るのに必要な平均エネルギーをε値といい、シリコン結晶の場合は、約3.6eVである。,GM計数管の動作特性曲線において、印加電圧を上げても計数率がほとんど変わらない範囲をプラトーといい、プラトー領域の印加電圧では、入射エックス線による一次電離量に比例した大きさの出力パルスが得られる。,気体に放射線を照射したとき、1個のイオン対を作るのに必要な平均エネルギーをW値といい、気体の種類にあまり依存せず、放射線のエネルギーに応じてほぼ一定の値をとる。,GM計数管が入射放射線により一度放電し、一時的に検出能力が失われた後、出力波高値が弁別レベルまで回復する時間を回復時間という。,放射線測定器の指針が安定せず、ゆらぐ現象をフェーディングという。,a,シリコン半導体のε値は約3.6eVである。
9,あるサーベイメータを用いて、時定数を2秒に設定し、エックス線を測定したところ、指示値は100(cps)を示した。このとき、計数率の相対標準偏差に最も近い値はどれか。,1%,2%,3%,5%,10%,d,σ=√(n/2T)=√(100/4)=5、相対標準偏差=5/100=5%
10,電離箱式サーベイメータを用い、積算1cm線量当量のレンジ(フルスケールは10μSv)を使用して、実効エネルギーが180keVのエックス線を測定したところ、フルスケールまで指針が振れるのに100秒かかった。このときの1cm線量当量率に最も近い値はどれか。,310μSv/h,330μSv/h,360μSv/h,400μSv/h,450μSv/h,b,校正定数を補正して計算すると約330μSv/hとなる。
