"id","question","choice_a","choice_b","choice_c","choice_d","answer","explanation"
"1","金属の状態図（二元系）における一般的な軸の取り方として、正しいものはどれか。","横軸に圧力、縦軸に硬さをとる","横軸に合金の組成、縦軸に温度をとる","横軸に時間、縦軸に温度をとる","横軸に温度、縦軸に合金の組成をとる","b","金属の二元系状態図では、横軸に合金の組成をとり、縦軸に温度をとって状態の変化を表すのが一般的である。鋼の場合の横軸はC含有量である。"
"2","状態図が示す内容として、正しい記述はどれか。","どのような冷却速度でも生じる組織を示している","最も安定な状態を示しており、その組成をある温度に長時間保持したときの状態を意味する","焼入れした場合の組織を直接予測できる","常に実際の製品組織と一致する","b","状態図はあくまでも最も安定な状態を意味しており、その組成の金属をある温度に長時間保持したときの状態を示している。"
"3","急速に冷却した場合の組織を予測するために用いられるチャートはどれか。","連続冷却変態曲線","S-N曲線","平衡状態図","応力-ひずみ曲線","a","冷却速度の違いによる組織を予測する場合には、連続冷却変態曲線（連続冷却変態図）が利用される。"
"4","α鉄（フェライト）の結晶構造として、正しいものはどれか。","体心立方構造","最密立方構造","非晶質","面心立方構造","a","α鉄はフェライトと呼ばれ、体心立方構造をもつ固溶体である。"
"5","フェライト中に固溶できる炭素量の最大値として、正しいものはどれか。","0.02％","0.8％","2.06％","6.67％","a","フェライト中に含まれる炭素量は最大でも0.02％しか含まない。炭素量0.02％以下の鋼を工業用純鉄と呼ぶ。"
"6","フェライトの性質に関する記述のうち、正しいものはどれか。","やわらかく摩耗には弱いがねばく、展延性に富んでいる","常温では非磁性体である","面心立方構造で低温ぜい性を示さない","硬くてもろく、延びがほとんどない","a","フェライトはやわらかく摩耗には弱いがねばく、展延性に富んでいる。また、常温では強磁性体である。"
"7","γ鉄（オーステナイト）の結晶構造として、正しいものはどれか。","最密立方構造","体心立方構造","面心立方構造","正方構造","c","γ鉄はオーステナイトと呼ばれ、面心立方構造をもつ。普通およそ700℃を超える高温度でだけ存在する組織である。"
"8","オーステナイトが固溶できる炭素量の最大値として、正しいものはどれか。","0.02％","0.8％","2.06％","6.67％","c","オーステナイトはCを最大2.06％（およそ2％）まで固溶できる侵入形固溶体である。"
"9","鋼と鋳鉄を区分する炭素量として、正しいものはどれか。","約0.02％","約0.8％","約2.06％","約6.67％","c","炭素量が2.06％以下の合金を鋼と言い、より多くの炭素量を含む場合を鋳鉄と呼んでいる。"
"10","セメンタイト（Fe3C）の炭素含有量として、正しいものはどれか。","0.02％","0.8％","2.06％","6.67％","d","セメンタイトはFe-C系合金で6.67％Cのところで生ずる金属化合物である。"
"11","セメンタイトの性質に関する記述のうち、正しいものはどれか。","硬くてもろく、延びがほとんどない","やわらかくねばい","常に球状で存在する","展延性に富み絞り加工が容易である","a","セメンタイトは硬くてもろい金属化合物で、延びがほとんどなく、普通は板状の割れやすい結晶として存在する。"
"12","パーライトの説明として、正しいものはどれか。","微細なフェライトとセメンタイトが層状に混合した組織","セメンタイトのみからなる組織","オーステナイトが残留した組織","針状のマルテンサイト組織","a","パーライトとは、微細なフェライトとセメンタイトが層状に混合した組織をいう。"
"13","パーライトの機械的性質に関する記述のうち、正しいものはどれか。","延びが全くない","フェライトよりやわらかい","セメンタイトよりもろい","フェライトとセメンタイトの中間的な性質で、ねばり強い","d","パーライトの機械的性質はフェライトとセメンタイトの2相の中間的なもので、ねばり強い性質を持っている。"
"14","δ鉄の結晶構造として、正しいものはどれか。","最密立方構造","面心立方構造","非晶質","体心立方構造","d","δ鉄はおよそ1400℃を超えて生じる体心立方構造をもつ固溶体で、炭素の含有量はオーステナイトと比べてもはるかに少ない。"
"15","A1線の温度として、正しいものはどれか。","723℃","910℃","1100℃","1390℃","a","723℃一定の線をA1線と呼び、これ以下の温度ではオーステナイトはすべてフェライトとセメンタイトに変態する。"
"16","Acm線が示す内容として、正しいものはどれか。","マルテンサイト変態が始まる位置","セメンタイトが析出し始める位置","フェライトが析出し始める位置","オーステナイトが融解し始める位置","b","Acm線のcmはセメンタイト（cementite）の略語であり、セメンタイト（Fe3C）が析出し始める位置を示している。"
"17","オーステナイト状態から徐冷し、A3線に至ったときに析出するものはどれか。","δ鉄","セメンタイト","炭素量の極めて少ないα鉄","マルテンサイト","c","A3線に至ると、C量の極めて少ないα鉄が析出しだす。これにより残りのオーステナイトの炭素量は増大していく。"
"18","共析鋼の炭素量として、正しいものはどれか。","約0.02％","約0.8％","約2.06％","約6.67％","b","A3線、Acm線及びA1線が一点で交差するときの炭素量は約0.8％であり、この炭素量の炭素鋼を共析鋼と呼ぶ。"
