"id","question","choice_a","choice_b","choice_c","choice_d","answer","explanation"
"1","公称応力の定義として、正しいものはどれか。","荷重を引張試験中の断面積で除した値","荷重と伸びの積","荷重を試験片の長さで除した値","荷重を荷重の付加前の断面積で除した値","d","公称応力は、荷重を荷重の付加前の断面積で除した値である。引張試験中の断面積で除した値は真応力という。"
"2","真応力の定義として、正しいものはどれか。","破断荷重を元の断面積で除した値","荷重を荷重の付加前の断面積で除した値","最大荷重を元の断面積で除した値","荷重を引張試験中の断面積で除した値","d","真応力は、荷重を引張試験中の断面積で除した値である。"
"3","弾性限度の説明として、正しいものはどれか。","破断時の公称応力","荷重を除去することでもとの形状に戻る上限の公称応力","応力とひずみが比例する下限の公称応力","最大の公称応力","b","弾性限度は、荷重を付加して生じたひずみが荷重を除去することでもとの形状に戻る上限の公称応力である。この範囲を弾性範囲という。"
"4","比例限度における比例定数の呼び名として、正しいものはどれか。","降伏比","応力集中係数","安全率","弾性係数","d","比例限度は公称応力と公称ひずみが比例して変化する上限の公称応力で、このときの比例定数を弾性係数という。"
"5","耐力の定義として、一般的なものはどれか。","0.2％の永久ひずみが生じるときの公称応力","20％の永久ひずみが生じるときの公称応力","2％の永久ひずみが生じるときの公称応力","0.02％の永久ひずみが生じるときの公称応力","a","明瞭な降伏点が現れない材料では、一般に0.2％の永久ひずみが生じるときの公称応力を耐力として降伏点のように設計上扱う。"
"6","引張強さの定義として、正しいものはどれか。","弾性限度における応力","応力-ひずみ曲線における最大の公称応力","破断時の公称応力","降伏点の1.2倍の応力","b","引張強さとは、応力-ひずみ曲線における最大の公称応力をいう。"
"7","引張強さを超えた後に公称応力が低下する理由として、正しいものはどれか。","くびれを起こして断面積が急激に減少し、荷重が低下するため","材料が硬化するため","真応力も低下するため","弾性変形に戻るため","a","引張強さを超えると試験片にくびれが生じて断面積が急激に減少し、試験体に加わる荷重が低下する。このため元の断面積で割った公称応力では低下していく（真応力は増大し続ける）。"
"8","シャルピー衝撃試験で測定するものはどれか。","破断時の伸び","応力拡大係数","破断までの繰返し数","破壊によって吸収されたエネルギー","d","シャルピー衝撃試験は、Vノッチの背面にハンマーをぶち当てて破壊させ、破壊によって吸収されたエネルギーを測定するもので、ハンマーの高さの差から位置エネルギー差（吸収エネルギー）を求める。"
"9","遷移温度の説明として、正しいものはどれか。","材料が融解し始める温度","クリープが顕著になる温度","再結晶が始まる温度","ねばい性質から急激にもろい材料に変化する温度","d","温度と吸収エネルギーの関係を表した遷移曲線において、ねばい性質から急激にもろい材料に変化する温度を遷移温度という。最大の吸収エネルギーの1/2になるときの温度をエネルギー遷移温度として用いることが多い。"
"10","低温ぜい性を示さない金属の組合せとして、正しいものはどれか。","α鉄、モリブデン","フェライト系ステンレス鋼、マルテンサイト系ステンレス鋼","炭素鋼、低合金鋼","銅、アルミニウム、オーステナイト系ステンレス鋼","d","面心立方晶の銅、アルミニウムやオーステナイト系ステンレス鋼などは低温でもじん性の低下はなく、低温ぜい性を示さない。体心立方晶の鋼では低温で吸収エネルギーが小さくなる。"
"11","応力集中の説明として、正しいものはどれか。","形状変化部で局所的に応力が増大すること","残留応力が緩和されること","材料全体の応力が均一になること","応力が時間とともに減少すること","a","材料に負荷が加わると内部に応力が発生するが、材料の形状によっては応力分布は一様ではなく、形状変化部で局所的に応力が増大する。これを応力集中という。"
"12","応力集中係数の定義として、正しいものはどれか。","最大応力を基準となる公称応力で除した係数","引張強さを安全率で除した係数","降伏点を引張強さで除した係数","最大応力を最小応力で除した係数","a","応力集中係数は、応力集中による最大応力を基準となる公称応力（荷重を断面積で除した平均応力）で除した係数をいう。"
"13","円孔がある場合の応力集中係数として、正しいものはどれか。","無限大","3","1","2","b","円孔の場合の応力集中係数は3である。"
"14","応力集中係数が大きくなる条件として、正しいものはどれか。","切欠きが長いほど、先端の曲率が小さくシャープなほど大きくなる","切欠きの形状には関係しない","先端の曲率が大きいほど大きくなる","切欠きが短いほど大きくなる","a","切欠きの長さが長いほど、また先端の曲率が小さくシャープなほど応力集中係数は大きくなる。"
"15","延性破壊の破面の特徴として、正しいものはどれか。","キラキラしたへき開破面で、SEMでリバーパターンが観察される","カップ・アンド・コーン形の形態を示し、SEMでディンプル模様が観察される","粒界破壊が観察される","マクロ的に貝殻模様が観察される","b","延性材料の破断部はカップ・アンド・コーン形の形態を示し、SEM（走査型電子顕微鏡）で観察するとディンプル模様が観察される。"
"16","延性破壊と残留応力の関係について、正しい記述はどれか。","引張時に伸びが十分に生じるので、残留応力の影響はほとんどない","残留応力がないと発生しない","圧縮残留応力によって促進される","残留応力の影響を大きく受ける","a","延性のある材料では残留応力があっても引張時に伸びが十分に生じるので、残留応力の影響はほとんどない。"
"17","ぜい性破壊の破面の特徴として、正しいものはどれか。","粒界のボイドが観察される","ストライエーションが観察される","キラキラしたへき開破面で、SEMでリバーパターンが観察される","ディンプル模様が観察される","c","ぜい性破壊では破壊後はほとんど塑性変形がなく、破壊面はキラキラしたへき開破面である。SEMで観察するとリバーパターンが観察される。"
"18","ぜい性破壊に関する記述のうち、正しいものはどれか。","塑性変形を大きく伴う","一般に低強度材ほどぜい性的破壊を示す","一般に高強度材ほどぜい性的破壊を示す","面心立方晶の金属で低温に生じやすい","c","一般に高強度材ほどぜい性的破壊を示す。また鉄鋼材料などでは延性-脆性遷移温度があり、その温度より低温側では脆性破壊を示す。"
"19","疲労破面の特徴として、正しいものはどれか。","粒界破壊が認められる","マクロ的には貝殻模様、SEMではストライエーションが認められる","マクロ的にはカップ・アンド・コーン、SEMではディンプル模様が認められる","SEMでリバーパターンが認められる","b","疲労破面にはマクロ的には貝殻模様が、走査型電子顕微鏡（SEM）で観察するとストライエーションが認められる。"
"20","疲労限（疲れ限度）の説明として、正しいものはどれか。","破断時の最大応力","応力振幅値が小さくなっていき、無限に繰り返しても疲労破壊が生じなくなる限界の応力振幅値","最初にき裂が発生する応力","破断までの繰返し数が1回となる応力","b","応力振幅値が小さくなっていくと、やがて無限に繰り返しても疲労破壊は生じなくなる。この限界の応力振幅値を疲労限（疲れ限度）という。"
