"id","question","choice_a","choice_b","choice_c","choice_d","answer","explanation"
"1","銅の電気・熱の伝導率に関する記述のうち、正しいものはどれか。","アルミニウムよりも劣る","すべての金属の中で最も優れている","銀に次いで優れている","鉄よりも劣る","c","銅は銀に次いで電気・熱の伝導率が優れており、電線や電気部品として使用されている。"
"2","銅の結晶構造と性質に関する記述のうち、正しいものはどれか。","最密立方格子で低温ぜい性を示す","面心立方晶で低温ぜい性が生じず、磁石に吸着しない","面心立方晶で磁石に吸着する","体心立方晶で低温ぜい性を示す","b","銅は面心立方晶（FCC）の構造で、低温ぜい性が生じず、磁石に吸着しない。"
"3","銅の比重として、正しいものはどれか。","2.7","7.9","8.9","11.3","c","銅の比重は8.9で鉄より大きく、重金属に分類される。"
"4","工業用純銅の定義として、正しいものはどれか。","鋳造専用の銅材","鉄を含む銅合金","電気精錬で得られた純度99.9％以上の銅を地金として精錬した展伸用材","亜鉛を1％以下含む銅合金","c","工業用純銅とは、電気精錬で得られた純度99.9％以上の銅を地金として精錬した展伸用材をいう。"
"5","タフピッチ銅の欠点として、正しいものはどれか。","電気伝導率が著しく低い","比重が極端に大きい","水分又は水素を含む雰囲気中の加熱で水素ぜい性を起こす","常温で加工できない","c","タフピッチ銅は電気伝導率、熱伝導率は優れているが、水分又は水素を含む雰囲気中の加熱で銅中の酸素と反応して水素ぜい性を起こす。このため溶接、ろう付やはんだ付などには適さない。"
"6","りん脱酸銅に関する記述のうち、正しいものはどれか。","水素ぜい性は防止できず、導電性も劣る","水素ぜい性は防止できるが、残存するりんによって導電性は劣る","水素ぜい性を防止でき、導電性も無酸素銅より優れる","酸素を全く含まない","b","りんで強制脱酸したりん脱酸銅は、タフピッチ銅の欠点である水素ぜい性は防止できるが、残存するりんによって導電性はより劣る。"
"7","工業用純銅の中で最も純度が高いものはどれか。","無酸素銅","電気銅","りん脱酸銅","タフピッチ銅","a","無酸素銅は電気銅を不活性雰囲気又は真空中で溶解・鋳造したもので、工業用純銅の中で最も純度が高く、電気及び熱の伝導性、展延性、絞り加工性及び溶接性に優れている。"
"8","黄銅（真ちゅう）の主成分の組合せとして、正しいものはどれか。","銅と亜鉛","銅とアルミニウム","銅とすず","銅とニッケル","a","黄銅は銅（Cu）と亜鉛（Zn）の合金、及びこれに鉛、すず、アルミニウムなどの元素を添加して性質を改善した合金をいう。"
"9","黄銅の比重及び融点に関する記述のうち、正しいものはどれか。","亜鉛量によって変化しない","亜鉛量の増加に伴って比重は大きくなり、融点は下がる","亜鉛量の増加に伴って比重も融点も増大する","亜鉛量の増加に伴って比重は小さくなり、融点も下がる","d","亜鉛の比重は銅より小さいので黄銅の比重は純銅より小さくなる。また亜鉛の融点は銅よりさらに低く、亜鉛量の増加に伴って融点も下がってくる。"
"10","七三黄銅（70/30黄銅）の機械的性質の特徴として、正しいものはどれか。","純銅と全く同じである","純銅より伸びも強さも低下する","純銅より伸び及び強さの両方が増大する","純銅より伸びは減少するが強さは増大する","c","通常、合金成分が増大すると伸びは減少し強さは増大するが、α固溶体の七三黄銅においては純銅よりも伸び及び強さの両方が増大するのが特徴である。"
"11","黄銅の耐食性に関する記述のうち、正しいものはどれか。","純銅より耐食性が優れる","酸及びアルカリに強く、海水に対する耐食性も優れる","大気中でも激しく腐食する","大気中では腐食されにくいが、酸及びアルカリには弱く、海水に対する耐食性も銅合金の中では悪い方である","d","黄銅は大気中においては腐食されにくいが、酸及びアルカリには弱く、海水に対する耐食性も銅合金の中では悪い方である。"
"12","青銅の主成分の組合せとして、正しいものはどれか。","銅と亜鉛","銅とベリリウム","銅とニッケル","銅とすず","d","青銅とは銅（Cu）とすず（Sn）の合金をいう。"
"13","青銅におけるすず（Sn）の効果として、正しいものはどれか。","融点を大きく上げる","比重を大きく増大させる","湯流れ性や充填性など鋳造性を改善し、耐食性も改善する","電気伝導率を大きく向上させる","c","すずには湯流れ性や充填性などの鋳造性の改善効果が大きく、また耐食性を改善する効果も大きい。大気中、淡水中、海水中においても黄銅よりはるかに耐食性が良い。"
"14","りん青銅の組成として、正しいものはどれか。","ニッケル8％の銅合金にりんを加えたもの","亜鉛30％の黄銅に、りん1％を加えたもの","すず3～9％の青銅に、りん0.03～0.35％を加えたもの","アルミニウム10％の銅合金にりんを加えたもの","c","りん青銅とは、すずの含有量3％～9％の青銅に、0.03％～0.35％のりん（P）を加えた合金で、代表的な展伸用青銅である。"
"15","りん青銅が優れたばね材料となる理由として、正しいものはどれか。","冷間加工後に低温焼なましを行うことで、極めて高いばね限界値を示すため","焼入れ焼戻しによって硬化するため","時効硬化によって強度が増すため","再結晶によって軟化するため","a","りん青銅は、特に冷間加工後に低温焼なましを行うことで極めて高いばね限界値を示し、優秀なばね材料となる。"
"16","アルミニウム青銅に関する記述のうち、正しいものはどれか。","耐食性に劣り海水中では使用できない","銅とアルミニウムの合金で、JIS銅合金中で最も強くて硬い","銅と亜鉛の合金である","すずを主成分とする合金である","b","アルミニウム青銅はSnを含まず銅（Cu）とアルミニウム（Al）との合金である。JIS銅合金中で最も強くて硬い合金として知られ、耐食性にも優れるため大型船舶のプロペラなどに用いられる。"
"17","ベリリウム銅の特徴として、正しいものはどれか。","耐食性に劣る","加工硬化のみで強化される合金である","電気伝導率が極めて低い","析出硬化形合金で、高級ばね材料や溶接用電極として使用される","d","ベリリウム銅は、銅側にあるベリリウムの溶解度変化を利用した析出硬化形合金である。電気伝導率が高く、疲労特性、耐摩耗性や耐食性に優れ、高級ばね材料や溶接用電極として使用される。"
"18","溶接用の電極材料として使われ、軟化温度が500℃以上である銅合金はどれか。","黄銅","クロム銅","アルミニウム青銅","りん青銅","b","クロム銅は電気伝導率も高く、軟化温度500℃以上で、溶接用の電極材料に使われる。"
"19","銅合金鋳物における質量効果の説明として、正しいものはどれか。","機械的性質が肉厚の変化によって著しく変化すること","比重が組成によって変化すること","重い元素が沈降すること","融点が肉厚によって変化すること","a","銅合金鋳物では機械的性質が肉厚の変化によって著しく変化するが、これを質量効果という。"
"20","重力偏析の説明として、正しいものはどれか。","圧延方向に伸びた偏析","鉛などの重金属を含む非鉄合金鋳物で、晶出した結晶と融液との密度差により生じる偏析","中心部に不純物が濃縮する偏析","樹枝状晶の内外で成分濃度が異なる偏析","b","鉛などの重金属を含む非鉄合金鋳物では、初めに晶出した結晶と融液との間に密度差が生じて偏析の要因となるが、これを重力偏析という。"
"21","すず汗の説明として、正しいものはどれか。","偏析で内部のすず含有量が高くなり、その融液が内部から外部に押し出されて浸出した現象","すずが表面で酸化して析出する現象","すずが蒸発して失われる現象","すずが粒界に炭化物として析出する現象","a","すず汗は、凝固温度範囲の大きい青銅において、偏析で内部のすず含有量が高くなり、この融液が内部から外部に押し出されて浸出した現象である。"
"22","砲金と呼ばれるものはどれか。","青銅鋳物","黄銅鋳物","鋳鉄品","アルミニウム合金鋳物","a","砲金とは青銅鋳物のことを指す。大砲に用いられた経緯による呼称である。"
"23","アルミニウムの融点として、正しいものはどれか。","420℃","660℃","1083℃","1536℃","b","アルミニウムの融点は660℃と低い。絶対温度で比べると鉄の約1/2の低さに相当する。"
"24","アルミニウムの比重として、正しいものはどれか。","1.7","2.7","4.5","8.9","b","アルミニウムの比重は2.7で、鉄や銅の約1/3の軽さである。"
"25","アルミニウムの線膨張率に関する記述のうち、正しいものはどれか。","鉄の約2倍である","鉄の約1/2である","鉄の約10倍である","鉄とほぼ同じである","a","常温におけるアルミニウムの線膨張率は23.1×10のマイナス6乗で、鉄の11.8×10のマイナス6乗の約2倍と大きい。"
"26","アルミニウムの耐食性が良好である理由として、正しいものはどれか。","イオン化傾向が極めて小さいため","表面が窒化物で覆われているため","結晶粒が微細なため","表面がち密な酸化被膜（アルミナ皮膜）で覆われているため","d","アルミニウム表面はち密な酸化被膜（アルミナ皮膜：Al2O3）で覆われており、この皮膜によって耐食性は良好である。酸化被膜のないアルミニウムは極めて活性である。"
"27","アルマイト処理の別名として、正しいものはどれか。","陽極酸化処理","ショットピーニング","浸炭処理","溶体化処理","a","アルミナ皮膜を人工的に作って耐食性を与える方法としてアルマイト処理（陽極酸化処理）がある。"
"28","アルミニウムの低温靱性に関する記述のうち、正しいものはどれか。","体心立方晶のため低温ぜい性を示す","低温では必ず脆性破壊する","低温靱性は炭素量で決まる","面心立方晶のため低温ぜい性を示さず、極低温貯槽タンクにも使用される","d","アルミニウムは面心立方晶の金属のため低温ぜい性を示さず、液化天然ガスなどの極低温貯槽タンクなどにも使用される。"
"29","ジュラルミンの主な組成として、正しいものはどれか。","Al-4％Cu合金","Al-10％Si合金","Al-5％Mg合金","Al-1％Mn合金","a","代表的な熱処理形アルミニウム合金としてジュラルミン（Al-4％Cu合金）がある。溶体化処理後に急冷して低い温度に保持するとCuとAlの金属間化合物が析出して強化される。"
"30","アルミニウム合金の時効処理に関する記述のうち、正しいものはどれか。","時効時間は長ければ長いほど強度が増す","析出物は粗大なほど強化に有効である","常温では時効は全く起こらない","過度の時効では析出物が粗大化し、かえって強度が低下する","d","過度の時効は析出物が粗大化したりして強度を低下させるので、適切な時効条件が選定される。微細にかつ均一に析出させることで強化される。"
"31","加工硬化したアルミニウム合金を表す記号はどれか。","H","T","O","F","a","加工硬化した材料をHの記号で表し、焼なましたO記号のものなどと区別している。"
"32","加工硬化したアルミニウム合金を溶接した場合の溶接部の性質として、正しいものはどれか。","さらに硬化する","時効硬化する","変化しない","軟化する","d","加工硬化した材料を溶接すると、溶接部は軟化する。"
"33","ダイカストの欠点として、正しいものはどれか。","充填速度が速いため金型内の空気や充填ガスを巻き込んでピンホールを多発しやすい","鋳肌が粗くなる","薄肉の製造ができない","寸法精度が悪い","a","ダイカストは充填速度が速いので、金型内の空気や充填ガスを巻き込んでピンホールを多発しやすいことが欠点である。また採算上、量産品にしか適用できない。"
"34","ダイカスト用アルミニウム合金で、流動性の改善のために添加される元素はどれか。","Ni","Zn","Pb","Si","d","流動性の改善にはSiが添加される。また金型への溶着の防止としてFeが添加される。"
"35","シルミンの説明として、正しいものはどれか。","シリコンを多く含み、流動性が高く鋳造性にすぐれるアルミ鋳造用合金","銅を4％含む時効硬化形合金","ニッケルを含む耐熱合金","マグネシウムを主体とした加工硬化形合金","a","シルミンはシリコンを多く含むアルミ鋳造用合金で、凝固温度が低く流動性が高く、鋳造性にすぐれ凝固収縮も少ない。ダイカストに広く利用されている。"
"36","Y合金の系統として、正しいものはどれか。","Al-Zn系","Al-Si系","Al-Cu-Ni-Mg系","Al-Mg系","c","Y合金はAl-Cu-Ni-Mg系（AC5A）のアルミ合金鋳物で、時効硬化し高温環境下での引張強さに優れる反面、鋳造性に難がある。"
"37","低圧鋳造の特徴として、正しいものはどれか。","溶湯が静かに下方から押し上げられるので、ざく巣や引け巣の少ない健全な鋳物が得られる","冷却速度が極めて遅く組織が粗大化する","鋳型を使用しない","高速で射出するため薄肉品に適する","a","低圧鋳造は、密閉したるつぼの上部に金型を設置し、溶湯を導管を通して低圧の空気圧で押し上げて充填するもので、ざく巣や引け巣の少ない健全な鋳物を作ることができる。"
"38","アルミニウム合金鋳物における気泡の区分に関する記述のうち、正しいものはどれか。","表面に開口したものをブローホール、内部のものをピンホールという","大きさに関係なくすべてブローホールという","球状の大きさが2～3mm以上のものをブローホール、それより小さいものをピンホールという","ピンホールの方が大きい","c","アルミニウム合金鋳物では、球状の大きさが2～3mm以上のものをブローホールといい、それより小さいものをピンホールといっている。"
"39","アルミニウム合金鋳物の粒界溶融の説明として、正しいものはどれか。","時効処理で析出物が粗大化する現象","鋳型の砂が巻き込まれる現象","溶体化熱処理で共晶温度以上に加熱され、粒界に析出していた化合物相が融けて空洞ができる現象","冷却時に熱間割れが生じる現象","c","粒界溶融は、溶体化熱処理の際に共晶温度以上に加熱されると結晶粒界に析出していた化合物相が融けて粒界に空洞ができる現象で、一般に表面にブリスタ（火ぶくれ）を伴う。"
"40","クロコダイルきずの説明として、正しいものはどれか。","引抜き管に生じるきず","板の両側面で厚さ方向に凹型になるきず","押出材の尾部中心部がへこむきず","板の前後端部で厚さ方向に凹型になるきず","d","クロコダイルきずは、ロールの回転が早すぎるなどした場合に、板の前後端部で厚さ方向に凹型になるきずである。板の両側面に生じるものはエッジラミネーションという。"
