"id","question","choice_a","choice_b","choice_c","choice_d","answer","explanation"
"1","高炉で鉄鉱石を還元して得た銑鉄を精錬する方法はどれか。","転炉法","連続鋳造法","分解圧延法","溶体化処理","a","製鋼には、高炉で鉄鉱石を還元して得た銑鉄を転炉で精錬する転炉法と、鉄くずを主原料として電気炉で溶解して精錬する電気炉法とがある。"
"2","現在の鋼片の製造で主流となっている方法はどれか。","粉末冶金法","連続鋳造法","造塊法","ダイカスト法","b","鋼片の製造は、現在では連続鋳造法が主流であり、生産性、品質、歩留り、エネルギーなどの点で優れている。"
"3","厚板の定義として、正しいものはどれか。","熱間圧延による厚さ20mm以上のもの","鋳造による厚さ6mm以上のもの","冷間圧延による厚さ3mm以上のもの","熱間圧延による厚さ6mm以上のもの","d","厚板とは、熱間圧延による厚さ6mm以上のものをいい、1050℃～1250℃に加熱して圧延する。"
"4","TMCP鋼（熱加工制御鋼）に関する記述のうち、正しいものはどれか。","結晶粒を粗大化して強度を高めた鋼である","圧延中の温度並びに冷却速度をコントロールし、結晶粒を微細化して強靭化及び溶接性の改善を図った鋼である","超音波探傷試験に全く影響を与えない鋼である","焼入れ焼戻しによってのみ製造される鋼である","b","TMCP鋼は、結晶粒を微細化して強靭化及び溶接性の改善を目的に、圧延中の温度並びに冷却速度をコントロールして製造される。音速異方性が見られ、超音波探傷検査に注意が必要な場合もある。"
"5","プレートクラウンの説明として、正しいものはどれか。","鋼板表面の凹凸の高さ","鋼板の幅方向の伸び","鋼板の長手方向の反り","鋼板中央部の最大厚さとエッジ部の最小厚さの差","d","圧延時に板の中央部がエッジ部より厚くなるクラウンの傾向があり、鋼板中央部の最大厚さとエッジ部の最小厚さの差をプレートクラウンという。"
"6","鋼種記号SM400CのSMが表すものはどれか。","建築構造用圧延鋼材","機械構造用炭素鋼","溶接構造用圧延鋼材","一般構造用圧延鋼材","c","SMは溶接構造用圧延鋼材（SM材）を示す。SSは一般構造用圧延鋼材、SNは建築構造用圧延鋼材である。"
"7","鋼種記号SM400Cの400が表すものはどれか。","引張強さの下限値","降伏点の下限値","板厚の上限値","伸びの下限値","a","三桁の数字は引張強さの下限値を示しており、引張強さが400MPa以上の材料であることを意味している。"
"8","建築構造用圧延鋼材（SN材）のグレードに関する記述のうち、正しいものはどれか。","グレードによる仕様の差はない","A材には衝撃値の要求がある","B材及びC材には衝撃値を要求するとともに、降伏点の上限及び降伏比の規定がある","C材には板厚方向の絞りの規定はない","c","SN材のA材には溶接に対する配慮は特にないが、B材及びC材には衝撃値を要求するとともに、降伏点の上限及び降伏比の規定を設けている。C材にはさらに深さ方向の絞りの下限値が設定されている。"
"9","一般構造用圧延鋼材（SS材）に関する記述のうち、正しいものはどれか。","建築専用の鋼材である","SS540以外ではりん（P）及びいおう（S）の上限値を規定しているのみである","溶接性を重視して炭素量の上限が厳しく規定されている","必ず調質処理が施される","b","SS材は特に溶接の配慮はしておらず、化学成分の規定においてもSS540以外ではりん（P）及びいおう（S）の上限値を規定しているのみである。"
"10","ラミネーションの説明として、正しいものはどれか。","表面が部分的にラップ又ははく離したもの","非金属介在物などが圧延方向に延ばされ層状になったもの","ロールのきずが転写されたもの","表面に異物を押し込んだもの","b","ラミネーションは、非金属介在物などが圧延方向に延ばされ層状になったもので、鋼板の内部きずに分類される。"
"11","鋼板の内部きずに分類されないものはどれか。","ラミネーション","かみ込みきず","水素性きず","中心部偏析","b","かみ込みきずは表面に異物を押し込んだもので、表面きずに分類される。内部きずにはラミネーション、非金属介在物、水素性きず、中心部偏析、ざくきずがある。"
"12","中心部偏析の説明として、正しいものはどれか。","表面近傍に炭素が濃縮する現象","結晶粒が中心部で微細化する現象","圧延によって非金属介在物が層状になる現象","最初に凝固する周辺部の純度は高いが、内部で不純物が濃縮される現象","d","中心部偏析は、水が氷るときのように、最初に凝固する周辺部の純度は高いが、内部で不純物が濃縮される現象である。"
"13","ざくきずの説明として、正しいものはどれか。","溶接時のスラグが残ったもの","表面が折れ重なったもの","ロールのきずが転写されたもの","造塊時に生じた微小空隙が圧延で密着しきれずに残存したもの","d","ざくきずは、造塊時に生じた微小空隙が圧延で密着しきれずに残存したものである。"
"14","へげの説明として、正しいものはどれか。","内部の非金属介在物が層状になったもの","表面が部分的にラップ又ははく離したもので、部分的に根を持った状態で折れ重なったもの","一定ピッチで発生するきず","溶接部に生じる割れ","b","へげは鋼板の表面きずの一種で、表面が部分的にラップ又ははく離したもので、部分的に根を持った状態で折れ重なったものである。"
"15","ロールきずの特徴として、正しいものはどれか。","溶接部にのみ発生する","板の中央部にのみ発生する","内部にのみ発生する","一定ピッチで発生する","d","ロールきずはロールのきずが転写されたもので、一定ピッチで発生することが特徴である。"
"16","継目なし鋼管の代表的な製造方式はどれか。","マンネスマンせん孔方式","スパイラル成形方式","UO-Press and Expanding方式","高周波電気抵抗溶接方式","a","継目なし鋼管は、丸形の素材を用いてマンネスマンせん孔方式で製作されるほか、角鋼片を用いたプレスピアシングプラグ方式も用いられる。"
"17","電縫管の接合に用いられる溶接方法はどれか。","サブマージアーク溶接","ティグ溶接","高周波電気抵抗溶接","被覆アーク溶接","c","電縫管（電気抵抗溶接管）は、丸めた板の両端を高周波電気抵抗溶接機で突合せ部を接合していく。"
"18","UOE鋼管の溶接に採用されている溶接方法はどれか。","高周波電気抵抗溶接","自動サブマージアーク溶接","摩擦圧接","被覆アーク溶接","b","UOE鋼管は厚板を素材とし、U加工、O加工を行ってリング状にして、内外面を自動サブマージアーク溶接によって接合する。"
"19","スパイラル鋼管の溶接線長は、UOE鋼管に対しておよそどの程度か。","0.5倍","同等","1.5～3倍","10倍以上","c","スパイラル鋼管の溶接線長はUOE鋼管の1.5～3倍となる。一方、溶接線がスパイラル状であるため溶接線にかかる応力が比較的小さく、内圧強度上は有利である。"
"20","ペネトレータの説明として、正しいものはどれか。","素材の非金属介在物が層状になったもの","鋳造時のガスによる空洞","高周波電気抵抗溶接で生じる、接合面への微小酸化物の残存","鍛造時の表面きず","c","ペネトレータは電縫管の高周波電気抵抗溶接で生じるきずで、接合面への微小酸化物の残存をいう。"
"21","フッククラックの説明として、正しいものはどれか。","焼入れ時に生じる割れ","繰返し荷重によって生じる割れ","鋳型の拘束によって生じる熱間割れ","素材の非金属介在物又は偏析がある場合に、溶接線近傍で生じる割れ","d","フッククラックは、電縫管において素材の非金属介在物又は偏析がある場合に、溶接線近傍で生じる割れである。"
"22","鍛鋼品に必要とされる鍛錬成形比として、正しいものはどれか。","1以上","2以上","3以上","10以上","c","鍛造前の長さLが鍛造後にlの長さになったときの比l/Lを鍛錬成形比といい、3以上が必要である。"
"23","鍛錬の効果として、適切でないものはどれか。","結晶粒が粗大化して靱性が向上する","加熱と加工によって成分元素の拡散を図り、偏析を低減する","樹枝状晶が変形され破壊される","加工で変形した結晶粒は冷却中に再結晶して微細化される","a","鍛錬では加工で変形した結晶粒が冷却中に再結晶して微細化される。結晶粒の粗大化は鍛錬の効果ではない。"
"24","キルド鋼の説明として、正しいものはどれか。","脱酸を行わないもの","CとOを反応させてCOガスとして脱酸したもの","脱水素のみを行ったもの","AlやSiで強制脱酸したもの","d","造塊には、CとOを反応させてCOガスとして脱酸するリムド鋼や、AlやSiで強制脱酸するキルド鋼及びその中間のセミキルド鋼があり、鍛鋼品には品質の良いキルド鋼が用いられる。"
"25","二次パイプの原因として、正しいものはどれか。","溶接時のガスの巻込み","鍛造時の表面の折れ込み","熱処理時の急冷","鋼塊頭部の押し湯不足","d","二次パイプは鋼塊頭部の押し湯不足に起因するきずである。"
"26","非金属介在物、砂きず、砂かみの大きさの関係として、正しいものはどれか。","非金属介在物が最も大きい","三者は同じ大きさである","砂かみが最も大きい","砂きずが最も大きい","c","非金属介在物は顕微鏡的なものをいい、肉眼視できるものを砂きず、砂きずより大型のものを砂かみと呼んでいる。"
