id,question,choice_a,choice_b,choice_c,choice_d,choice_e,answer,explanation
1,放射線感受性に関する次の記述のうち、誤っているものはどれか。,小腸の絨毛先端部の細胞は、腺窩細胞(クリプト細胞)より放射線感受性が高い。,骨組織は、一般に放射線感受性が低いが、小児では比較的高い。,皮膚の基底細胞層は、角質層より放射線感受性が高い。,細胞周期の中で、S期(DNA合成期)初期は、S期後期より放射線感受性が高い。,細胞周期の中で、G1期(DNA合成準備期)初期は、G2期(分裂準備期)後期より放射線感受性が低い。,a,小腸の絨毛先端部の細胞は分化した細胞であり、腺窩細胞(クリプト細胞)より放射線感受性が低い。
2,放射線によるDNAの損傷と修復に関する次の記述のうち、正しいものはどれか。,放射線によるDNA損傷には、塩基損傷とDNA鎖切断があるが、間接電離放射線では、塩基損傷は生じない。,DNA鎖切断のうち、二重らせんの片方だけが切れる1本鎖切断は、細胞死などの重篤な細胞障害に関連が深い。,細胞には、DNA鎖切断を修復する機能があり、修復が誤りなく行われれば、細胞は回復し、正常に増殖を続けるが、塩基損傷を修復する機能はない。,DNA鎖切断の修復方式のうち、非相同末端結合修復は、DNA切断端どうしを直接結合する方式である。,DNA鎖切断のうち、2本鎖切断はDNA鎖の組換え現象が利用されるため、1本鎖切断に比べて容易に修復される。,d,非相同末端結合修復はDNA切断端を直接結合する修復方式である。
3,次のAからCの人体の組織・器官について、放射線感受性の高いものから順に並べたものはどれか。A:神経線維 B:肺 C:皮脂腺,A、B、C,B、A、C,B、C、A,C、A、B,C、B、A,e,放射線感受性は皮脂腺>肺>神経線維の順に高い。
4,生体に対する放射線効果に関する次のAからDの記述について、正しいものの組合せはどれか。A:半致死線量は、被ばくした集団中の個体の50%が一定期間内に死亡する線量であり、動物種の放射線感受性を比較するときなどに用いられる。B:平均致死線量は、ある組織・臓器の個々の細胞を死滅させる最小線量を、その組織・臓器全体にわたり平均した線量で、この値が大きい組織・臓器の放射線感受性は高い。C:全致死線量は、半致死線量の2倍に相当する線量であり、この線量を被ばくした個体は数時間～数日のうちに死亡してしまう。D:生物効果比(RBE)は、基準となる放射線と問題にしている放射線とが、同じ生物効果を与えるときの各々の吸収線量の比であり、線質の異なる放射線による生物効果を比較する場合に用いられる。,A、B,A、C,A、D,B、C,B、D,c,AとDが正しい。半致死線量は50%が死亡する線量。RBEは同じ生物効果を与える吸収線量の比。
5,エックス線の直接作用と間接作用に関する次の記述のうち、正しいものはどれか。,エックス線光子と生体内の水分子を構成する原子との相互作用の結果生成されたラジカルが、直接、生体高分子に損傷を与える作用が直接作用である。,エックス線光子によって生じた二次電子が、生体高分子の電離又は励起を行うことによって、生体高分子に損傷を与える作用が間接作用である。,エックス線が生体に与える影響は、直接作用によるものより間接作用によるものの方が大きい。,生体中にシステイン、システアミンなどのSH基を有する化合物が存在すると放射線効果が軽減されることは、主に直接作用により説明される。,溶液中の酵素の濃度を変えて一定線量のエックス線を照射するとき、酵素の濃度が減少するに従って酵素の全分子のうち不活性化されるものの占める割合が増加することは、直接作用により説明される。,c,エックス線が生体に与える影響は間接作用によるものの方が大きい。
6,放射線による身体的影響に関する次の記述のうち、誤っているものはどれか。,身体的影響には、その重篤度が、被ばく線量に依存するものとしないものがある。,白内障は、眼の水晶体上皮の被ばくによる障害で、晩発影響に分類される。,放射線による不妊は、晩発影響に分類される。,白血病以外の放射線による発がんは、一般に、がん好発年齢に達したころから増加するので、被ばく時の年齢が若いほど潜伏期が長くなる。,放射線による白血病は、被ばく線量が大きくなるほど潜伏期が短くなる。,c,放射線による不妊は早期影響に分類される。晩発影響ではない。
7,エックス線被ばくによる造血器官及び血液に対する影響に関する次の記述のうち、正しいものはどれか。,末梢血液中の血球は、リンパ球を除いて、造血器官中の未分化な細胞より放射線感受性が低い。,造血器官である骨髄のうち、脊椎の中にあり、造血幹細胞の分裂頻度が極めて高いものは脊髄である。,末梢血液中の血球数の減少は、被ばく量が1Gy程度までは認められない。,末梢血液中のリンパ球は、被ばく直後、一時的に増加が認められる。,末梢血液中の赤血球の減少は貧血を招き、血小板の減少は感染に対する抵抗力を弱める原因となる。,a,末梢血液中の成熟した血球(リンパ球を除く)は、造血器官中の未分化な細胞より放射線感受性が低い。
8,放射線の被ばくによる確率的影響と確定的影響に関する次の記述のうち、誤っているものはどれか。,確率的影響では、被ばくした集団中の影響の発生確率は、被ばく線量の増加とともに増加する。,遺伝的影響には、確率的影響に分類されるものと確定的影響に分類されるものがある。,早期影響は、全て確定的影響に分類される。,確定的影響では、障害の重篤度は、被ばく線量に依存する。,しきい線量は、確定的影響には存在するが、確率的影響には存在しないと考えられている。,b,遺伝的影響は確率的影響のみに分類される。確定的影響には分類されない。
9,ヒトが一時に全身にエックス線の照射を受けた場合の早期影響に関する次の記述のうち、誤っているものはどれか。,1～2Gy程度の被ばくで、放射線宿酔の症状が現れることがある。,被ばくから死亡までの期間は、一般に造血器官の障害による場合の方が、消化器官の障害による場合より長い。,3～5Gy程度の被ばくによる死亡は、主に造血器官の障害によるものである。,消化器官の障害を主因とする死亡までの期間は、5～20日程度である。,5～10Gy程度の被ばくによる死亡は、主に中枢神経系の障害によるものである。,e,5～10Gyでは消化器官の障害が主因。中枢神経系の障害は10Gy以上。
10,胎内被ばくに関する次の記述のうち、正しいものはどれか。,着床前期の被ばくで胚死亡に至らず、発育を続けて出生した子供には、発育遅延が生じやすい。,胎内被ばくにより胎児に生じる奇形は、確定的影響に分類される。,胎内被ばくのうち、奇形の発生するおそれが最も大きいのは、胎児期の被ばくである。,胎内被ばくを受け出生した子供にみられる精神発達遅滞は、遺伝的影響である。,器官形成期の被ばくは、奇形を起こすおそれはないが、出生後、身体的な発育遅延が生じるおそれがある。,b,胎内被ばくにより胎児に生じる奇形は確定的影響に分類される。しきい線量が存在する。
