id,question,choice_a,choice_b,choice_c,choice_d,choice_e,answer,explanation,image
1,次の文は，浸透探傷試験の適用対象について述べたものである。正しいものを選べ。,チタニウム合金には適用できない。,金属以外の材料にも適用できる。,強磁性体の材料には適用できない。,多孔質でなければどんな材料でも適用できる。,,b,浸透探傷試験は，金属，非金属を含め，吸湿性が無く，探傷剤に侵さ れない材料に適用できる。,
2,次の文は，浸透探傷試験の対象となるきずについて述べたものである。正しいものを選べ。,浸透探傷試験は，試験体表面に開口したきずであれば，どのような材質にも適用して検出する ことができる。,浸透探傷試験は，表面又は表面近傍のきずであれば，どのようなきずでも検出できる。,きずの大小にかかわらず，表面の近傍であっても内部にあるきずは検出できない。,きずが開口していれば，きずの形状に関係なく検出できる。,,c,浸透探傷試験は，金属，非金属を問わず開口きずを探傷できるが， 多孔質の材料や幅が広く浅いきずなどは検出できない場合がある。,
3,次の文のうち，浸透探傷試験で最も検出しにくいきずはどのような形状を持ったものか。正しい ものを選べ。,表面開口幅は狭いが，内部にいくにしたがって空洞が広がっているきず。,表面開口幅が広く，深さの浅いきず。,表面開口幅が狭く，深さの深いきず。,表面開口幅が狭く，試験体を貫通しているきず。,,b,幅が広く浅いきずは過洗浄になりやすいため，検出が難しい,
4,次の文は，浸透探傷試験について述べたものである。正しいものを選べ。,浸透探傷試験は材料が指定された強度を有するかどうか，引張り強さを調べることができる。,浸透探傷試験は製品の製造時に現れるであろう表面きずの大きさ，深さを測定することができ る。,浸透探傷試験は製品の製造条件が正しく守られて製造されたものであるか，或いは使用中に健 全性が維持されていたかどうかを，検出されるきずを指標として評価することができる。,浸透探傷試験は機器･構造物の表面及び内面に存在するきずを検出し，これらが破壊により大災 害を起こすことを事前に防止することができる。,浸透探傷試験は適用される規格により要求されるものであり，使用者の独自の判断で行われ る。,c,製品又は使用中の保守検査における浸透探傷試験の目的は，いずれも 健全性の管理手段として実施することである。,
5,次の文は，浸透探傷試験について述べたものである。正しいものを選べ。,浸透探傷試験は表面開口きずを検出する最も優れた試験方法であるが，複雑な試験装置が必要 であるという欠点がある。,浸透液とか現像剤といった探傷剤が試験の主役であるため，試験結果は探傷技術にはあまり影 響されない。,各探傷剤はメーカーが異なった組み合わせであっても用途が同じであるので，問題なく使用で きる。,浸透探傷試験に使用される探傷剤はそれぞれの能力を最高に発揮させるように，適用方法，適 用条件を正しく守って試験を実施しないと，きず検出能力が著しく低下する試験方法である。,,d,浸透探傷試験は，複雑な試験装置を必要としない。探傷剤は同じメー カーのものを組合わせる。個々の探傷剤の性質について十分な知識を 持っていなければならない。,
6,次の文は，きずの一般的性質について述べたものである。正しいものを選べ。,内部に存在するきずは表面に存在するきずより有害である。,表面に存在するきずは内部に存在するきずより有害である。,表面に存在するきずも内部に存在するきずも有害の度合は変わらない。,表面に存在するきずだけを考慮すべきであり，内部に存在するものは考慮しない。,,b,部材に力（応力）が加わった場合，部材表面の応力が最大で，内部 に行くに従い応力は小さくなる為，表面欠陥が最も有害となる。,
7,次の文は，不連続部という用語について述べたものである。正しいものを選べ。,不連続部とは，‘きず’と同義語であり，有害なきずを表現する用語である。,不連続部とは，‘割れ’を総称した用語であり，有害なきずとして表現するものである。,不連続部と欠陥では用語の意味する内容が異なり，不連続部は無害なきずを，欠陥は有害なき ずとして使い分けている。,不連続部とは，表面の連続性を中断している状態を示した用語であり，有害なものと無害なも のが混在したきずの総称である。,,d,不連続部：物質の組織の連続性や，部品の表面の連続性を中断するも の全般をいい，有害なものと無害なものがある。 欠陥：上記不連続の中で，明らかに実用上問題があるもの。,
8,次の文は，磁粉探傷試験と比べて浸透探傷試験の方が有利であると考えられる場合について述べ たものである。正しいものを選べ。,鋳造品に発生する円形状のきずが検出対象となる場合。,鍛鋼品に発生する幅の狭い割れが検出対象となる場合。,鋼溶接部に発生する疲労割れが検出対象となる場合。,鋼構造物の溶接部のように，薄い酸化皮膜がある表面を探傷しようとする場合。,,a,浸透探傷試験は，金属材料，非金属材料を含め，探傷剤で侵されな いもの及び吸湿性のないものであればすべての材料・製品の探傷に 適用できる。また，探傷ではきずの方向性に関係なく，一度の探傷 試験ですべての方向のきずを探傷することができる。 磁粉探傷試験はピンホールのような円形状のきずは検出が困難であ る。,
9,他の非破壊試験に比べて，表面のきずの検出性について浸透探傷試験が最も有利なことは次のう ちどれか。正しいものを選べ。,材質が磁性体・非磁性体に関係なく割れの検出に最も優れた方法である。,材質が磁性体・非磁性体に関係なく円形状のきずの検出に最も優れた方法である。,材質が磁性体であれば割れの検出に最も優れた方法である。,材質が非磁性体の場合は，割れの検出はできるが円形状のきずの検出は難しい。,,b,磁性体の割れの検出に最も優れた検査方法は磁気探傷試験である。 浸透探傷試験は，材質が磁性体・非磁性体に関係なく，きずの検出が できる。,
10,次の文は，浸透探傷試験を実施する目的について述べたものである。正しいものを選べ。,浸透探傷試験を実施する目的は，表面きずを予め除去しておき，機械加工後の検査を省略する ことである｡,浸透探傷試験を定期検査で実施する目的は，使用中に材料中のきずが成長しているか，形を変 えていないかを知ることも含まれる。,浸透探傷試験を実施する目的は，きずの有無を知ることであり，きずの位置，方向，個数など はあまり必要としない。,浸透探傷試験を実施する目的は，開口した割れを検出することであり，ブローホールやスラグ 巻込みなどの検出は必要ではない。,,b,浸透探傷試験の目的は，製品の健全性の管理手段として，製品が製造 条件を正しく守られ製造されたか，使用中も健全性が維持されている かを確認することであり，機械加工後の検査を省略することは目的で はない。,
