"id","question","choice_a","choice_b","choice_c","choice_d","answer","explanation"
"1","炭素鋼や低合金鋼の熱処理の4種類として、正しい組合せはどれか。","焼ならし、焼入れ、焼戻し、焼なまし","浸炭、窒化、焼入れ、焼戻し","溶体化処理、時効処理、焼入れ、焼戻し","焼ならし、鍛錬、圧延、焼なまし","a","炭素鋼や低合金鋼の熱処理には、焼ならし（normalizing）、焼入れ（quenching）、焼戻し（tempering）、焼なまし（annealing）の4種類がある。"
"2","調質と呼ばれる熱処理の組合せとして、正しいものはどれか。","焼入れと焼戻し","焼ならしと焼戻し","焼なましと焼入れ","焼ならしと焼なまし","a","焼入れと焼戻しを行うことを調質といい、材料の強度及びじん性の確保にしばしば用いられる。"
"3","焼ならしの冷却方法として、正しいものはどれか。","油中で急冷する","炉中で徐冷する","空気中で空冷する","水中で急冷する","c","焼ならしは、鋼をオーステナイト状態になるまで加熱した後に、空気中で空冷する操作である。"
"4","焼ならしの主な目的として、正しいものはどれか。","組織を均一化し、結晶粒を微細化する","残留オーステナイトを増加させる","硬さを最大にする","炭化物を球状化する","a","焼ならしは、組織や結晶粒の大きさの不均一を均一化し、かつ結晶粒を微細化することを目的としている。焼準とも呼ばれる。"
"5","亜共析鋼の焼ならしにおける加熱温度として、正しいものはどれか。","Acm点以下","A1点とA3点の中間","Ac1点以下","Ac3点以上","d","焼ならしでは、亜共析鋼ではAc3点（昇温課程におけるA3点）以上、過共析鋼ではAccm点以上の適切な温度まで加熱する。"
"6","焼入れの説明として、正しいものはどれか。","適切な温度に加熱保持した後に徐冷する操作","再結晶温度以上で加工する操作","加熱してオーステナイト組織としたのちに、水中や油中に浸漬するなどして急冷する操作","A1点以下に加熱して冷却する操作","c","焼入れは、加熱してオーステナイト組織としたのちに、水中や油中に浸漬するなどの方法で材料を急冷させる操作である。"
"7","焼入れ後に得られる代表的な組織はどれか。","トルースタイト","ソルバイト","マルテンサイト","パーライト","c","焼入れ後の代表的な組織は針状の組織であるマルテンサイト組織である。冷却がやや遅くなるとベイナイト組織となる。"
"8","マルテンサイト変態の特徴として、正しいものはどれか。","液相からの析出によって起こる","原子の拡散によって起こる","原子の突然の規則的な並び変えによって起こる","結晶粒界のすべりによって起こる","c","多くの変態は原子が拡散することによって起こるが、マルテンサイト変態は原子の突然の規則的な並び変えによって起こるのが特徴である。"
"9","焼入れによってマルテンサイト変態が生じたときの体積変化として、正しいものはどれか。","膨張する","変態量に関わらず一定である","変化しない","収縮する","a","面心立方格子が急激に体心立方格子に変態するので、体積膨張が起こる。"
"10","サブゼロ処理の目的として、正しいものはどれか。","炭化物の球状化","残留オーステナイトの低減","残留応力の増大","結晶粒の粗大化","b","マルテンサイト変態には開始温度と終了温度があり、その中間の温度では残留オーステナイトが混在する。0℃以下の低温度に冷却するサブゼロ処理で残留オーステナイトの低減を図る。"
"11","焼割れの原因として、正しいものはどれか。","繰返し荷重","溶接時の水素","急激な冷却に伴う熱応力や変態応力","結晶粒界へのクロム炭化物の析出","c","焼入れの急激な冷却に伴って熱応力や変態応力が生じ、割れが生じることがある。これを焼割れと呼んでいる。"
"12","焼戻しの加熱温度として、正しいものはどれか。","A1点以下","A3点以上","Acm点以上","A1点以上A3点以下","a","焼戻しは、焼入れした材料にA1点以下の適切な温度に加熱し、冷却する操作である。A1点を超えるとオーステナイト組織が現れ、焼入れの効果が消失する。"
"13","高温焼戻しの温度範囲として、一般的なものはどれか。","100℃以下","200℃付近","約400℃以上","800℃以上","c","約400℃以上の比較的高い温度に焼き戻すものを高温焼戻しといい、一般に構造用鋼に用いられる。"
"14","低温焼戻しの温度範囲として、一般的なものはどれか。","100℃以下","200℃付近","400℃以上","600℃以上","b","200℃付近の比較的低い温度で焼き戻すものを低温焼戻しといい、工具鋼などに用いられる。"
"15","焼戻しによってのみ得られる組織はどれか。","マルテンサイト","トルースタイトやソルバイト","パーライト","ベイナイト","b","トルースタイト組織やソルバイト組織は焼戻しによってのみ得られる組織であり、高い強度と優れたじん性が確保される。"
"16","高温焼戻しの主な目的として、正しいものはどれか。","硬さをさらに高める","残留オーステナイトを増加させる","焼入れによって生じた硬くてもろい組織を高いじん性をもった組織に改善する","結晶粒を粗大化させる","c","約400℃以上で行われる高温焼戻しは、焼入れによって生じた硬くてもろい組織を高いじん性をもった組織に改善するために行われる。"
"17","焼戻しぜい性に関する記述のうち、正しいものはどれか。","急冷すると必ず生じる","焼戻し温度に関係なく生じない","300℃付近の青熱脆性、500℃付近の焼戻し脆性がある","800℃付近でのみ生じる","c","特定の温度に長時間保持することで脆性を生じることがあり、これを焼戻しぜい性という。300℃付近の青熱脆性、500℃付近の焼戻し脆性がある。"
"18","焼なましの冷却方法として、正しいものはどれか。","空冷","徐冷","油冷","水冷","b","焼なましは、適切な温度に加熱し、その温度に保持した後に徐冷する操作である。焼鈍ともいう。"
"19","完全焼なましに関する記述のうち、正しいものはどれか。","A1点以下に加熱して急冷する","炭化物を球状化することを目的とする","オーステナイト組織の領域に加熱し十分保持した後に徐冷して軟化させる","再結晶温度以下に加熱する","c","完全焼なましは、亜共析鋼ではA3点、過共析鋼ではAcm点以上のオーステナイト組織の領域に加熱し、十分な時間保持した後に徐冷して軟化させる。平衡状態図での標準組織はこの熱処理で得られる。"
"20","球状化焼なましの目的として、正しいものはどれか。","鋼中の元素を拡散して均質化する","結晶粒を粗大化する","鉄鋼中の炭化物を球状化し、冷間加工性、切削性又は機械的性質を改善する","残留応力を除去する","c","球状化焼なましは、鉄鋼中の炭化物を球状化する焼なましで、冷間加工性、切削性又は機械的性質を改善することを目的とする。"
"21","中間焼なましの加熱温度として、正しいものはどれか。","融点直下","Acm点以上","A3点以上","再結晶温度以上A1点以下","d","中間焼なましは、再結晶温度以上A1点以下の適切な温度に加熱して徐冷する。冷間加工で硬化した鋼を軟化させ、引き続いて行う冷間加工を容易にする目的で行う。"
"22","応力除去焼なましの目的として、正しいものはどれか。","鍛造、鋳造、機械加工や溶接などで生じた残留応力を除去する","硬さを最大にする","結晶粒を微細化する","炭化物を粒内に析出させる","a","応力除去焼なましは、鉄鋼を変態点以下の適切な温度に加熱保持して行い、鍛造、鋳造、機械加工や溶接などで生じた残留応力を除去する目的で行う。"
"23","応力除去焼なましにおいて、残留応力除去の効果がより大きい因子はどれか。","加熱速度","冷却速度","保持温度","保持時間","c","応力除去焼なましでは、保持時間より保持温度の方が残留応力除去の効果が大きい。"
"24","拡散焼なましの目的として、正しいものはどれか。","残留応力を除去する","硬さを一様に低下させる","炭化物を球状化する","鋼中の元素を拡散して均質化する","d","拡散焼なましは、オーステナイト組織の領域に加熱して徐冷し、鋼中の元素を拡散して均質化することを目的とする。"
"25","オーステナイト系ステンレス鋼の鋭敏化が起こる温度域として、正しいものはどれか。","200～300℃","500～850℃","1000～1150℃","1300℃以上","b","オーステナイト系ステンレス鋼は650℃前後の温度（500～850℃）に加熱されると、結晶粒界にクロムの炭化物が多量に析出する。この現象を鋭敏化という。"
"26","鋭敏化が耐食性を悪くする理由として、正しいものはどれか。","酸化被膜が厚くなりすぎるため","結晶粒界にクロム炭化物が析出し、粒界周辺のクロム量が極端に減少するため","結晶粒が粗大化するため","ニッケルが表面に濃縮するため","b","鋭敏化では結晶粒界にクロムの炭化物が析出し、粒界周辺のクロム量が極端に減少する。このため粒界で顕著に腐食することがある（粒界腐食）。"
"27","溶体化熱処理の加熱温度として、正しいものはどれか。","500～850℃","870～900℃","1010～1150℃","1300～1400℃","c","溶体化熱処理は1010℃～1150℃の温度に適切な時間（板厚25mm当たり1時間以上が標準）加熱保持し、その後急冷する熱処理である。"
"28","安定化オーステナイト系ステンレス鋼で添加される元素はどれか。","MgやCa","TiやNb","PbやSn","PやS","b","TiやNbを添加して、予めTiやNbと炭素を結合させて析出させることで、クロム炭化物の粒界への析出を抑制したものを安定化オーステナイト系ステンレス鋼という。"
"29","アルミニウムを強化する2つの方法として、正しい組合せはどれか。","再結晶と粒成長","加工硬化と析出硬化","浸炭と窒化","焼入れと焼戻し","b","アルミニウムの強化方法は、加工硬化を利用する方法（非熱処理形合金）と、析出硬化を利用する方法（熱処理形合金）に大別される。"
"30","非熱処理形アルミニウム合金の代表例として、適切なものはどれか。","Al-Mg系合金","Al-Si-Cu系合金","Al-Cu-Ni-Mg系合金","Al-Cu系合金","a","加工硬化によって強度を増加させるものを非熱処理形アルミニウム合金（加工硬化材）といい、Al-Mg系合金などがこれにあたる。熱処理形の代表例はAl-Cu合金である。"
"31","アルミニウム合金の人工時効の温度範囲として、正しいものはどれか。","500℃以上","300～400℃","常温","120～200℃","d","アルミニウム合金の時効には、常温で行う常温時効（自然時効）と、常温よりも少し高い温度（120～200℃）で行う人工時効がある。"
