id,question,choice_a,choice_b,choice_c,choice_d,choice_e,answer,explanation
1,エックス線装置を用いて放射線業務を行う場合の管理区域に関する次の記述のうち、労働安全衛生関係法令上、正しいものはどれか。,管理区域には、放射線業務従事者以外の者が立ち入ることを禁止し、その旨を明示しなければならない。,放射線装置室内で放射線業務を行う場合、その室の入口に放射線装置室である旨の標識を掲げたときは、管理区域を標識により明示する必要はない。,管理区域設定に当たっての外部放射線による実効線量の算定は、1cm線量当量及び70μm線量当量によって行うものとする。,管理区域内の見やすい場所に、放射線業務従事者が受けた外部被ばくによる線量の測定結果の一定期間ごとの記録を掲示しなければならない。,管理区域内の見やすい場所に、外部被ばくによる線量を測定するための放射線測定器の装着に関する注意事項、事故が発生した場合の応急の措置等放射線による労働者の健康障害の防止に必要な事項を掲示しなければならない。,e,管理区域内には注意事項等を掲示する義務がある。
2,放射線装置室内でエックス線の照射中に遮蔽物が破損し15mSvを超えるおそれのある区域が生じた場合の措置について、正しいものの組合せはどれか。A:当該区域を標識によって明示した。B:放射線業務従事者を除き立入りを禁止した。C:速やかに所轄労働基準監督署長に報告した。D:被ばく限度を超えていない者を除き医師の診察を受けさせた。,A、B,A、C,B、C,B、D,C、D,b,AとCが正しい措置である。Bは全ての者の立入りを禁止すべき。Dは全ての者に診察が必要。
3,エックス線装置を取り扱う放射線業務従事者が管理区域内で受ける外部被ばくによる線量を測定するために放射線測定器を装着する全ての部位として、誤っているものはどれか。,最も多く放射線にさらされるおそれのある部位が手指であり、次に多い部位が頭・頸部である男性の放射線業務従事者…胸部及び手指,最も多く放射線にさらされるおそれのある部位が手指であり、次に多い部位が腹・大腿部である女性の放射線業務従事者(妊娠する可能性がないと診断されたものを除く)…腹部及び手指,最も多く放射線にさらされるおそれのある部位が手指であり、次に多い部位が胸・上腕部である男性の放射線業務従事者…胸部及び手指,最も多く放射線にさらされるおそれのある部位が胸・上腕部であり、次に多い部位が手指である男性の放射線業務従事者…胸部のみ,最も多く放射線にさらされるおそれのある部位が頭・頸部であり、次に多い部位が手指である女性の放射線業務従事者(妊娠する可能性がないと診断されたものを除く)…腹部及び頭・頸部,a,頭・頸部が次に多い場合、胸部と頭・頸部と手指の3箇所に装着が必要。
4,放射線業務従事者の被ばく限度として、労働安全衛生関係法令上、正しいものはどれか。,男性の放射線業務従事者が受ける実効線量の限度…5年間につき250mSv及び1年間につき100mSv,男性の放射線業務従事者が眼の水晶体に受ける等価線量の限度…5年間につき100mSv及び1年間につき50mSv,男性の放射線業務従事者が皮膚に受ける等価線量の限度…1年間につき300mSv,女性の放射線業務従事者(妊娠する可能性がないと診断されたもの及び妊娠と診断されたものを除く)が受ける実効線量の限度…1か月間につき5mSv,妊娠と診断された女性の放射線業務従事者が腹部表面に受ける等価線量の限度…妊娠中につき5mSv,b,眼の水晶体の等価線量限度は5年間で100mSv、1年間で50mSvである。
5,エックス線装置を用いて放射線業務を行う場合の外部放射線の防護に関する次の措置のうち、電離放射線障害防止規則に違反しているものはどれか。,装置の外側における外部放射線による1cm線量当量率が20μSv/hを超えないように遮蔽された構造のエックス線装置を、放射線装置室以外の室に設置して使用している。,放射線装置室については、遮蔽壁等の遮蔽物を設け、労働者が常時立ち入る場所における外部放射線による実効線量が、1週間につき5mSvを超えないように管理しており、平均4mSv程度となっている。,特定エックス線装置を使用するとき、照射筒又はしぼりを用いると装置の使用の目的が妨げられるので、どちらも用いていない。,管電圧250kVのエックス線装置を放射線装置室以外の場所で使用するとき、装置に電力が供給されている旨を関係者に周知させる措置として、手動の表示灯を用いている。,特定エックス線装置を用いて透視を行うとき、定格管電流の2倍以上の電流がエックス線管に通じると、直ちに、エックス線管回路が開放位になる自動装置を設けている。,b,1週間につき1mSvを超えないようにしなければならない。5mSvは違反。
6,エックス線装置構造規格に関する次の記述のうち、正しいものはどれか。,波高値による定格管電圧が100kV未満のエックス線装置には、この構造規格は適用されない。,エックス線又はエックス線装置の研究又は教育のため、使用のつど組み立てる方式のエックス線装置には、この構造規格は適用されない。,この構造規格が適用されるエックス線装置は、見やすい箇所に、定格出力、型式検定合格番号、製造者名及び製造年月が表示されていなければならない。,この構造規格が適用されるエックス線装置は、医療用のものでも工業用のものでも、エックス線管について必要とされる遮蔽の基準は等しい。,海外から輸入されたエックス線装置には、この構造規格は適用されない。,b,研究又は教育のため使用のつど組み立てる方式のエックス線装置には構造規格は適用されない。
7,電離放射線健康診断の実施について、労働安全衛生関係法令に違反しているものはどれか。,雇入れの際の健康診断において、使用する線源の種類等に応じて「白内障に関する眼の検査」を省略している。,定期の健康診断において、医師が必要でないと認めた労働者に対し、「白血球数及び白血球百分率の検査」を省略している。,放射線業務に配置替えの際に行う健康診断において、被ばく歴のない労働者に対し、医師が必要と認めなかったので、「赤血球数の検査及び血色素量又はヘマトクリット値の検査」を省略している。,事業場において実施した健康診断の項目に異常の所見があると診断された労働者については、その結果に基づき、健康を保持するために必要な措置について、健康診断実施日から3か月以内に、医師の意見を聴いている。,放射線業務従事者が離職する際に健康診断を実施していない。,c,配置替えの際の健康診断では、被ばく歴のない者でも血液検査は省略できない。
8,次のAからDの場合について、所轄労働基準監督署長に報告しなければならないものの全ての組合せはどれか。A:エックス線作業主任者を選任したとき。B:労働者数が常時25人の事業場で、電離則に基づく定期の電離放射線健康診断を行ったとき。C:労働者数が常時50人以上の事業場で、電離則に基づく雇入れの際の電離放射線健康診断を行ったとき。D:労働者数が常時50人以上の事業場で、安衛則に基づく定期健康診断を行ったとき。,A、B,A、C,B、C,B、D,C、D,d,電離放射線健康診断は事業場規模に関係なく報告義務あり。安衛則の定期健康診断は50人以上で報告義務あり。
9,エックス線装置を用いて放射線業務を行う作業場の管理区域に該当する部分の作業環境測定に関する次の記述のうち、労働安全衛生関係法令上、正しいものはどれか。,管理区域内でエックス線装置を固定して使用する場合において、被照射体の位置が一定しているときは、6か月以内ごとに1回、定期に、測定を行わなければならない。,測定は、1cm線量当量率又は1cm線量当量について行うものとするが、70μm線量当量率が1cm線量当量率を超えるおそれのある場所又は70μm線量当量が1cm線量当量を超えるおそれのある場所においては、それぞれ70μm線量当量率又は70μm線量当量について行わなければならない。,測定の結果は、見やすい場所に掲示する等の方法により、管理区域に立ち入る者に周知させなければならない。,測定を行ったときは、遅滞なく、その結果を所轄労働基準監督署長に提出しなければならない。,測定を行ったときは、測定日時、測定方法、測定結果等法定の事項を記録し、30年間保存しなければならない。,c,測定結果は管理区域に立ち入る者に周知させなければならない。
10,エックス線装置を用いて行う透過写真撮影の業務に常時従事する労働者20人を含めて1200人の労働者を常時使用する製造業の事業場の安全衛生管理体制として、選任しなければならないものに該当しないものはどれか。,総括安全衛生管理者,専属の産業医,4人以上の衛生管理者,専任の衛生管理者,衛生工学衛生管理者免許を有する衛生管理者,e,衛生工学衛生管理者は有害業務が多い場合に必要だが、この事業場では必要ない。
