id,question,choice_a,choice_b,choice_c,choice_d,answer,explanation,image
1,次の文は、残存厚さについて述べたものである。正しいものはどれか。,残存厚さとは、設計時の厚さから測定物に内在するきずを手入れした減少値を差し引いた値を いう。,残存厚さとは、キャビテーションによって減少した板、又は管などの減少値をいう。,残存厚さとは、購入時素材の厚さから測定時の厚さを差し引いた値をいう。,残存厚さとは、製造時の素材の厚さから腐食等による減少値を差し引いた値をいう。,d,残存厚さとは、元厚（製造時の厚さ）から減厚値（腐食又は摩耗に よる減少値）を差し引いた値をいう。 ｷｬﾋﾞﾃｰｼｮﾝとは液体の流れの中で圧力差により短時間に泡の発生と 消滅が起きる物理現象である。この現象によりｴﾛｰｼﾞｮﾝ(機械的に起 こる摩耗作用)による減肉が発生することがある。,
2,次の文は、凹凸の著しい面から厚さ測定する方法について述べたものである。正しいものを一つ選び、 記号で答えよ。,測定面の凹凸が著しい場合、その位置を中心とした周囲を4 点以上測定し、その平均を測定値とす る。,測定面の凹凸が著しい場合、グラインダを用いて100μmRz 以下に仕上げて測定する。,測定面の凹凸が著しい場合、底面に超音波が垂直に入射していると予想できる箇所を選んで測定す る。,測定面の凹凸が著しい場合、誤差が大きいので、測定してはならない。,b,測定面に伝搬を阻害するような汚れ、ｸﾞﾘｰｽ、綿くず、ｽｹｰﾙ、溶接 のﾌﾗｯｸｽ及びｽﾊﾟｯﾀ、油その他の異物があり、測定の妨げになる場合 は、前処理を行う。測定面の表面粗さが100μmRz を超えると超音 波の伝達性が悪くなり測定できない又は接触媒質の影響で誤差が増 えるといった問題が生じる。問題文の凹凸の著しい測定面は上記内 容と同等と考えると、表面粗さを100μmRz 以下に仕上げるのが正 しい。,
3,次の文は、超音波探傷試験を行う目的について述べたものである。適切なものを一つ選び、記号で答え よ。,生産工程を変更するために、超音波探傷試験を行う。,生産工程の品質管理のために、超音波探傷試験を行う。,生産工程の省力化のために、超音波探傷試験を行う。,生産工程の技術力の向上のために、超音波探傷試験を行う。,b,非破壊試験の役割は、品質管理を目的としたものと品質保証を目的 としたものがある。品質管理は、品質を造り込むために、製造ﾌﾟﾛｾ ｽの中間段階で実施される。製造情報を速やかに把握して、製造の 前工程へのﾌｨｰﾄﾞﾊﾞｯｸと後工程へﾌｨｰﾄﾞﾌｫﾜｰﾄﾞにより、品質異常品の 大量発生の防止・製造技術の改善・工程能力の向上及びきず部の除 去などを行う。製造途中の段階で検査して欠陥部を除くことは、後 工程での無駄を省くことになり、品質向上に大きく寄与することが できる。,
4,次の文は、超音波探傷試験を行う目的について述べたものである。適切なものを一つ選び、記号で答え よ。,製品の破損防止のために、超音波探傷試験を行う。,製品の品質保証のために、超音波探傷試験を行う。,製品の価格を上げるために、超音波探傷試験を行う。,製品を安価に提供するために、超音波探傷試験を行う。,b,非破壊試験の役割は、品質管理を目的としたものと品質保証を目的 としたものがある。品質保証は、最終出荷物の品質を保証するため に、規格や客先仕様などで決められた試験方法・判定基準などに基 づき実施される。また試験方法、試験者の技能技術、検査作業の実 施状況、検査設備の維持管理など一連の管理を確実に実施すること も品質保証である。 超音波探傷試験に合格したからと言って、製品の破損防止を保証す るものではなく、要領書に則った方法及び判定基準で検査をした結 果合格という事に過ぎないので、破損に対するﾘｽｸの減少は期待 出来るが、目的とは言えない。,
5,次の文は、JIS Z 2305 に基づく超音波探傷試験技術者レベル2 の役割について述べたものである。 正しいものを一つ選び、記号で答えよ。,日常、レベル1 技術者に対して訓練・指導する責任はあるが、新しく資格を取得したレベル2 技術者に 対して訓練・指導を行ってはならない。,レベル2 技術者は、超音波探傷試験方法の適用限界を決定することはできない。,レベル2 技術者は、超音波探傷試験を実施するか、又はレベル1 技術者が実施する超音波探傷試験を監 督しなければならない。,超音波探傷試験結果を取りまとめて報告し、超音波探傷試験設備と職員についての全責任を持たなけれ ばならない。,c,ﾚﾍﾞﾙ2 に認証された技術者はNDT 手順に従ってNDT を実施する力 量を実証している。雇用主はレベル2 技術者に、資格証明書に明記 された力量の範囲で、つぎの項目を実施する許可を与えてよい。 a）使用するNDT 方法に適用するNDT 技法を選択する。 b) NDT 方法の適用制限を明確にする。 c）NDT ｺｰﾄﾞ、規格、仕様書及び手順を、実際の作業条件に適した NDT 指示書に書き換える。 d）装置の調整及びその検証を行う。 e）NDT を実施し、監督する。 f）適用される規格、ｺｰﾄﾞ、仕様書又は手順書に従って結果を解釈 し、評価する。 g）ﾚﾍﾞﾙ2 又はそれより下のﾚﾍﾞﾙの全ての作業を実施し、監督する。 h）ﾚﾍﾞﾙ2 又はそれより下の技術者を指導する。 i）NDT 結果を報告する。,
6,次の文は、超音波探傷試験における用語について述べたものである。正しいものを一つ選び、記号で答 えよ。,板波は、薄い板状の固体を伝搬する波で、対称モードと非対称モードに分類され、モードが異なって も位相速度及び群速度は同じである。,SH 波は、振動方向が試験体の表面と直角な横波で、一般的な斜角探傷試験に用いられる。,ガイド波は、細長い材料中を長手方向に探傷面と平行方向に伝搬する超音波で、長い配管の探傷に用い られる。,SV 波は、振動方向が試験体の表面に垂直な面内で振動する横波で、特殊な超音波斜角探傷に用いる。,c,板波はﾗﾑ波とSH 板波の2 種類に分類される。ﾗﾑ波は対称ﾓｰﾄﾞと非対 称ﾓｰﾄﾞがあり、ﾓｰﾄﾞによって位相速度(波の山や谷の特定の位置が移 動する速度)と群速度(複数の波を重ね合わせた時にその全体が移動 する速度)が異なる。 ｶﾞｲﾄﾞ波は、ﾊﾟｲﾌﾟを軸方向に長距離伝搬する波である。ﾊﾟｲﾌﾟの内外 面を境界として発生する波である。板波と同様、減衰が少なく広範囲 の検査が可能であることを特徴としている。板波は、周波数によって 音速が異なる速度分散性という特徴と、多くの振動ﾓｰﾄﾞがある多ﾓｰ ﾄﾞという特徴を有している。,
7,次の文は、JIS Z 3060 の適用範囲について述べたものである。正しいものを一つ選び、記号で答えよ。,JIS Z 3060 では、厚さ6mm 以上のフェライト系の鋼の完全溶込み溶接部の超音波探傷試験方法及び分類 方法を規定している。,オーステナイト系ステンレス鋼溶接部の超音波探傷では、JIS Z 3060 をそのまま適用することができ る。,JIS Z 3060 では、厚さ13mm 以上のフェライト系の鋼及びオーステナイト系の鋼の完全溶込み溶接部の 垂直探傷について規定している。,JIS Z 3060 では、厚さ6mm 以上のフェライト系の鋼の完全溶込み溶接部の自動探傷についても規定して いる。,a,JIS Z 3060 の適用範囲では、『厚さ6mm 以上のﾌｪﾗｲﾄ系鋼の完全溶込 み溶接部を、超音波ﾊﾟﾙｽを用いた基本表示の超音波探傷器で、超音波 探傷試験を手動で行う場合のきずの検出方法、位置及び寸法の測定 方法について規定する。ただし、鋼管の製造工程中の継手溶接部には 適用しない。』との記載がある。,
8,次の文は、JIS Z 3060 に規定する超音波探傷装置の測定、調整及び点検について述べたものである。 正しいものを一つ選び、記号で答えよ。,JIS Z 3060 では、探傷器の定期点検は探傷作業の開始時のみ実施する。,JIS Z 3060 では、入射点、屈折角、測定範囲及び探傷感度の調整及び点検は作業開始時にのみ行う。,JIS Z 3060 では、探傷器の定期点検は、6 か月に1 回実施する。,JIS Z 3060 では、入射点、屈折角、測定範囲及び探傷感度の調整及び点検は、作業開始時と4 時間以内 ごと及び作業終了時に行う。,d,JIS Z 3060 では、「9.1.7 探傷装置の測定、調整及び点検」で 『入射点、STB 屈折角、測定範囲及び探傷感度は、作業開始時に測定 及び調整する。また、これらは作業開始後4 時間以内ごと及び作業終 了時に点検し、これらの条件の変化量を確認する。』とある。,
9,次の文は、音響インピーダンスと音圧反射率について述べたものである。正しいものを一つ選び、記号 で答えよ。,音響インピーダンスは、音速と質量の積で表わされる。,低炭素鋼溶接部の母材と溶着金属のように、音響インピーダンスの値にあまり差のない場合には、その 境界面では超音波がほとんど反射しない。,音響インピーダンスは、音圧反射率と無関係である。,音響インピーダンスの大きく異なる二つの物質の境界面に、超音波が垂直に入射すると、音圧反射率 は、ほとんど０％になる。,b,音響インピーダンスが大きく異なる二つの物質の境界面に垂直に入 射すれば音圧反射率は100％近くになる。音響インピーダンスにあま り差の無い場合には境界面での反射はほとんど起こらない。,
10,次の文は、音響インピーダンスについて述べたものである。正しいものを一つ選び、記号で答えよ。,音響インピーダンスは、比重と音速の積で表わされる。,音響インピーダンスは、密度と音速の積で表わされる。,音響インピーダンスは、波長と密度の積で表わされる。,音響インピーダンスは、振動数と比重の積で表わされる。,b,音響ｲﾝﾋﾟｰﾀﾞﾝｽ(Ｚ)＝ρＣ ρ：密度 Ｃ：音速 で求まる。,
