id,question,choice_a,choice_b,choice_c,choice_d,choice_e,answer,explanation
1,"エックス線装置を用いて放射線業務を行う場合の管理区域に関する次の記述のうち、労働安全衛生関係法令上、正しいものはどれか。","放射線装置室内で放射線業務を行う場合、その室の入口に放射線装置室である旨の標識を掲げたときは、管理区域を標識により明示する必要はない。","管理区域には、放射線業務従事者以外の者が立ち入ることを禁止し、その旨を明示しなければならない。","管理区域に立ち入る労働者は、放射線測定器を用いて外部被ばくによる線量を測定することが著しく困難な場合を除き、管理区域内において、放射線測定器を装着しなければならない。","管理区域内の見やすい場所に、放射線業務従事者が受けた外部被ばくによる線量の測定結果の一定期間ごとの記録を掲示しなければならない。","管理区域設定に当たっての外部放射線による実効線量の算定は、一般に、1cm線量当量により行うが、70μm線量当量が1cm線量当量の10倍を超えるおそれのある場合においては、70μm線量当量により行うものとする。",c,"管理区域に立ち入る労働者は、放射線測定器を装着しなければならない。"
2,"エックス線装置構造規格に関する次の記述のうち、正しいものはどれか。","エックス線又はエックス線装置の研究又は教育のため、使用のつど組み立てる方式のエックス線装置には、この構造規格は適用されない。","海外から輸入されたエックス線装置には、この構造規格は適用されない。","波高値による定格管電圧が100kV未満のエックス線装置には、この構造規格は適用されない。","この構造規格が適用されるエックス線装置は、登録型式検定機関による型式の検定を受けなければならない。","この構造規格が適用されるエックス線装置は、医療用のものでも工業用のものでも、エックス線管について必要とされる遮蔽の基準は等しい。",a,"エックス線又はエックス線装置の研究又は教育のため、使用のつど組み立てる方式のエックス線装置には、この構造規格は適用されない。"
3,"エックス線装置を取り扱う放射線業務従事者が管理区域内で受ける外部被ばくによる線量を測定するために放射線測定器を装着する全ての部位として、労働安全衛生関係法令上、誤っているものは次のうちどれか。","最も多く放射線にさらされるおそれのある部位が頭・頸部であり、次に多い部位が腹・大腿部である男性の放射線業務従事者 ……… 胸部及び頭・頸部","最も多く放射線にさらされるおそれのある部位が胸・上腕部であり、次に多い部位が手指である男性の放射線業務従事者 ……… 胸部のみ","最も多く放射線にさらされるおそれのある部位が手指であり、次に多い部位が胸・上腕部である男性の放射線業務従事者 ……… 胸部及び手指","最も多く放射線にさらされるおそれのある部位が手指であり、次に多い部位が頭・頸部である女性の放射線業務従事者(妊娠する可能性がないと診断されたものを除く。) ……… 腹部及び手指","最も多く放射線にさらされるおそれのある部位が頭・頸部であり、次に多い部位が手指である女性の放射線業務従事者(妊娠する可能性がないと診断されたものを除く。) ……… 腹部及び頭・頸部",d,"最も多く放射線にさらされる部位が手指であり、次に多い部位が頭・頸部である女性の放射線業務従事者の場合、腹部及び頭・頸部に装着すべきであり、腹部及び手指ではない。"
4,"エックス線作業主任者に関する次の記述のうち、労働安全衛生関係法令上、正しいものはどれか。","エックス線作業主任者は、エックス線装置を用いて放射線業務を行う事業場ごとに1人選任しなければならない。","満20歳未満の者は、エックス線作業主任者免許を受けることができない。","診療放射線技師免許を受けた者又は原子炉主任技術者免状若しくは第一種放射線取扱主任者免状の交付を受けた者は、エックス線作業主任者免許を受けていなくても、エックス線作業主任者として選任することができる。","エックス線作業主任者を選任したときは、作業主任者の氏名及びその者に行わせる事項について、作業場の見やすい箇所に掲示する等により、関係労働者に周知させなければならない。","エックス線作業主任者は、その職務の一つとして、作業場のうち管理区域に該当する部分について、作業環境測定を行わなければならない。",d,"エックス線作業主任者を選任したときは、作業主任者の氏名及びその者に行わせる事項について、作業場の見やすい箇所に掲示する等により、関係労働者に周知させなければならない。"
5,"エックス線装置を用いて放射線業務を行う作業場の管理区域に該当する部分の作業環境測定に関する次の記述のうち、労働安全衛生関係法令上、正しいものはどれか。","管理区域内でエックス線装置を固定して使用する場合において、被照射体の位置が一定しているときは、6か月以内ごとに1回、定期に、測定を行わなければならない。","測定を行ったときは、測定日時、測定方法及び測定結果のほか、測定を実施した者の氏名及びその有する資格について、記録しなければならない。","測定結果等の記録は、30年間保存しなければならない。","測定を行ったときは、遅滞なく、その結果を所轄労働基準監督署長に提出しなければならない。","測定の結果は、見やすい場所に掲示する等の方法により、管理区域に立ち入る者に周知させなければならない。",e,"測定の結果は、見やすい場所に掲示する等の方法により、管理区域に立ち入る者に周知させなければならない。"
6,"電離放射線障害防止規則で定める放射線業務従事者の被ばく限度に関する次の文中の[ ]内に入れるAからCの数値の組合せとして、正しいものは(1)～(5)のうちどれか。ただし、放射線業務従事者は、緊急作業には従事しないものとし、また、被ばく限度に関する経過措置の適用はないものとする。「事業者は、放射線業務従事者の受ける等価線量が、眼の水晶体に受けるものについては5年間につき[A]mSv及び1年間につき[B]mSvを、皮膚に受けるものについては1年間につき[C]mSvを、それぞれ超えないようにしなければならない。」","A:100 B:50 C:250","A:100 B:50 C:500","A:150 B:50 C:500","A:150 B:100 C:250","A:250 B:100 C:500",b,"眼の水晶体：5年間につき100mSv及び1年間につき50mSv、皮膚：1年間につき500mSv"
7,"エックス線装置を用いて放射線業務を行う場合の外部放射線の防護に関する次の措置のうち、電離放射線障害防止規則に違反していないものはどれか。","装置の外側における外部放射線による1cm線量当量率が20μSv/hを超えないように遮蔽された構造のエックス線装置を、放射線装置室以外の室に設置して使用している。","工業用のエックス線装置を設置した放射線装置室内で、磁気探傷法や超音波探傷法による非破壊検査も行っている。","管電圧200kVのエックス線装置を放射線装置室に設置して使用するとき、装置に電力が供給されている旨を関係者に周知させる措置として、手動の表示灯を用いている。","工業用のエックス線装置を放射線装置室以外の場所で使用するとき、作業に従事する者が立ち入ることを禁止されている場所を標識により明示していない。","照射中に労働者の身体の一部がその内部に入るおそれのある工業用の特定エックス線装置を用いて透視を行うときは、エックス線管に流れる電流が定格管電流の2.5倍に達したときに、直ちに、エックス線回路を開放位にする自動装置を設けている。",a,"装置の外側における外部放射線による1cm線量当量率が20μSv/hを超えないように遮蔽された構造のエックス線装置を、放射線装置室以外の室に設置して使用することは違反ではない。"
8,"電離放射線健康診断(以下「健康診断」という。)の実施について、労働安全衛生関係法令に違反していないものは次のうちどれか。ただし、労働者は緊急作業に従事しないものとする。","放射線業務に配置替えの際に行う健康診断において、被ばく歴のない労働者に対し、「皮膚の検査」を省略している。","定期の健康診断において、その実施日の前6か月間に受けた実効線量が5mSvを超えず、かつ、その後6か月間に受ける実効線量が5mSvを超えるおそれのない労働者に対し、医師が必要と認めないときには、「白内障に関する眼の検査」を除く他の全ての項目を省略している。","定期の健康診断の結果、健康診断の項目に異常の所見があると診断された労働者以外の労働者については、健康を保持するために必要な措置について、医師の意見を聴いていない。","健康診断の結果に基づき、電離放射線健康診断個人票を作成し、3年間保存した後、厚生労働大臣が指定する機関に引き渡している。","常時10人未満の労働者を使用する事業場において、定期の健康診断を行ったとき、電離放射線健康診断結果報告書を所轄労働基準監督署長に提出していない。",c,"定期の健康診断の結果、健康診断の項目に異常の所見があると診断された労働者以外の労働者については、医師の意見を聴く必要はない。"
9,"次のAからDの場合について、所轄労働基準監督署長にその旨を報告しなければならないものの全ての組合せは(1)～(5)のうちどれか。A エックス線作業主任者を選任したとき。B 放射線装置室の使用を廃止したとき。C 放射線装置室内の遮蔽物がエックス線の照射中に破損し、かつ、照射を直ちに停止することが困難な事故が発生したとき。D 総括安全衛生管理者を選任したとき。","A、B","A、B、C","A、D","B、C、D","C、D",e,"報告が必要なのはC（事故報告）とD（総括安全衛生管理者の選任報告）である。AとBは報告不要。"
10,"衛生管理者及び産業医の選任に関する次の記述のうち、労働安全衛生関係法令上、正しいものはどれか。ただし、衛生管理者及び産業医の選任の特例はないものとする。","常時500人を超え1,000人以下の労働者を使用する事業場では、2人以上の衛生管理者を選任しなければならない。","4人以上の衛生管理者を選任すべき事業場では、そのうち2人まで、その事業場に専属でない労働衛生コンサルタントのうちから選任することができる。","常時2,000人を超える労働者を使用する事業場では、2人以上、専任の衛生管理者を選任しなければならない。","常時400人の労働者を使用し、そのうちエックス線にさらされる業務に常時20人の労働者を従事させる事業場では、全て第一種衛生管理者免許を有する者のうちから衛生管理者を選任することができる。","常時800人の労働者を使用し、そのうちエックス線にさらされる業務に常時500人の労働者を従事させる事業場では、その事業場に専属でない産業医を選任することができる。",d,"常時400人の労働者を使用し、そのうちエックス線にさらされる業務に常時20人の労働者を従事させる事業場では、全て第一種衛生管理者免許を有する者のうちから衛生管理者を選任することができる。"
