id,question,choice_a,choice_b,choice_c,choice_d,choice_e,answer,explanation
1,"放射線業務従事者の被ばく限度として、労働安全衛生関係法令上、誤っているものは次のうちどれか。ただし、放射線業務従事者は、緊急作業には従事しないものとし、また、被ばく限度に関する経過措置の適用はないものとする。","男性の放射線業務従事者が受ける実効線量の限度 ……… 5年間につき100mSv、かつ、1年間につき50mSv","女性の放射線業務従事者(妊娠する可能性がないと診断されたもの及び妊娠と診断されたものを除く。)が受ける実効線量の限度 ……… 1か月間につき3mSv","放射線業務従事者が皮膚に受ける等価線量の限度 ……… 1年間につき500mSv","放射線業務従事者が眼の水晶体に受ける等価線量の限度 ……… 5年間につき100mSv及び1年間につき50mSv","妊娠と診断された女性の放射線業務従事者が腹部表面に受ける等価線量の限度 ……… 妊娠と診断されたときから出産までの間につき2mSv",b,"女性の放射線業務従事者（妊娠する可能性がないと診断されたもの及び妊娠と診断されたものを除く）が受ける実効線量の限度は、3か月間につき5mSvであり、1か月間につき3mSvではない。"
2,"エックス線装置を取り扱う放射線業務従事者が管理区域内で受ける外部被ばくによる線量を測定するために放射線測定器を装着する全ての部位として、労働安全衛生関係法令上、誤っているものは次のうちどれか。","最も多く放射線にさらされるおそれのある部位が頭・頸部であり、次に多い部位が腹・大腿部である男性の放射線業務従事者 ……… 胸部及び頭・頸部","最も多く放射線にさらされるおそれのある部位が胸・上腕部であり、次に多い部位が手指である男性の放射線業務従事者 ……… 胸部のみ","最も多く放射線にさらされるおそれのある部位が手指であり、次に多い部位が頭・頸部である男性の放射線業務従事者 ……… 胸部及び手指","最も多く放射線にさらされるおそれのある部位が腹・大腿部であり、次に多い部位が手指である女性の放射線業務従事者(妊娠する可能性がないと診断されたものを除く。) ……… 腹部及び手指","最も多く放射線にさらされるおそれのある部位が頭・頸部であり、次に多い部位が手指である女性の放射線業務従事者(妊娠する可能性がないと診断されたものを除く。) ……… 腹部及び頭・頸部",c,"最も多く放射線にさらされる部位が手指であり、次に多い部位が頭・頸部である場合、胸部及び頭・頸部に装着すべきであり、手指ではない。"
3,"エックス線装置構造規格において、工業用等のエックス線装置のエックス線管に関する規定について、次の文中の[ ]内に入れるAからCの語句又は数値の組合せとして、正しいものは(1)〜(5)のうちどれか。「コンデンサ式高電圧装置を有する工業用等のエックス線装置のエックス線管は、波高値による定格管電圧が200kV未満のエックス線装置では、[A]の距離における利用線錐以外の部分のエックス線の空気カーマ率が2.6mGy/h以下になるように、かつ、コンデンサ式高電圧装置の充電状態であって、照射時以外のとき、[B]の距離におけるエックス線の空気カーマ率が[C]μGy/h以下になるように、遮蔽されているものでなければならない。」","エックス線管の焦点から1m・エックス線管の焦点から1m・10","エックス線管の焦点から1m・エックス線装置の接触可能表面から5cm・10","エックス線管の焦点から1m・エックス線装置の接触可能表面から5cm・20","エックス線装置の接触可能表面から5cm・エックス線管の焦点から1m・20","エックス線装置の接触可能表面から5cm・エックス線装置の接触可能表面から5cm・10",c,"エックス線管の焦点から1mの距離で2.6mGy/h以下、充電状態・非照射時はエックス線装置の接触可能表面から5cmの距離で20μGy/h以下。"
4,"次のAからEの事項について、電離放射線障害防止規則において、エックス線作業主任者の職務として規定されているものの全ての組合せは(1)〜(5)のうちどれか。A 特定エックス線装置の照射筒若しくはしぼり又はろ過板が適切に使用されるように措置すること。B 外部放射線を測定するための放射線測定器について、所定の期間内ごとに校正すること。C 放射線業務従事者以外の者を管理区域に立ち入らせないように措置すること。D 管電圧が150kVを超えるエックス線装置を放射線装置室に設置して使用するとき、装置に電力が供給されている旨を自動警報装置によって関係者に周知させる措置が講じられているかどうかについて点検すること。E 放射線業務従事者の外部放射線による線量の合計を厚生労働大臣が定める方法により算定し、記録すること。","A, B","A, C, E","A, D","B, D, E","C, E",c,"エックス線作業主任者の職務はA（照射筒・しぼり・ろ過板の適切な使用措置）とD（自動警報装置の点検）である。"
5,"エックス線装置を用いて放射線業務を行う場合の管理区域に関する次の記述のうち、労働安全衛生関係法令上、正しいものはどれか。","管理区域に一時的に立ち入る労働者についても、管理区域内において受ける外部被ばくによる線量を測定しなければならない。","管理区域には、放射線業務従事者以外の者が立ち入ることを禁止し、その旨を明示しなければならない。","放射線装置室内で放射線業務を行う場合、その室の入口に放射線装置室である旨の標識を掲げたときは、管理区域を標識により明示する必要はない。","管理区域内の見やすい場所に、放射線業務従事者が受けた外部被ばくによる線量の測定結果の一定期間ごとの記録を掲示しなければならない。","管理区域とは、外部放射線による実効線量が3か月間につき3mSvを超えるおそれのある区域である。",a,"管理区域に一時的に立ち入る労働者についても、管理区域内において受ける外部被ばくによる線量を測定しなければならない。"
6,"エックス線装置を用いて放射線業務を行う作業場の管理区域に該当する部分の作業環境測定に関する次の文中の[ ]内に入れるAからCの語句の組合せとして、労働安全衛生関係法令上、正しいものは(1)〜(5)のうちどれか。「作業場のうち管理区域に該当する部分について、1か月以内(エックス線装置を固定して使用する場合において使用の方法及び遮蔽物の位置が一定しているときは、[A]以内)ごとに1回、定期に、作業環境測定を行い、その都度、測定日時、測定箇所、測定結果、[B]等一定の事項を記録し、[C]保存しなければならない。」","3か月・放射線測定器の種類、型式及び性能・5年間","3か月・放射線測定器の種類、型式及び性能・30年間","6か月・放射線測定器の種類、型式及び性能・30年間","6か月・測定結果に基づき実施した措置の概要・5年間","6か月・測定結果に基づき実施した措置の概要・30年間",d,"固定使用の場合は6か月以内ごとに1回、記録事項には測定結果に基づき実施した措置の概要が含まれ、5年間保存。"
7,"電離放射線健康診断(以下「健康診断」という。)に関する次の記述のうち、労働安全衛生関係法令上、誤っているものはどれか。ただし、労働者は緊急作業に従事しないものとする。","管理区域に一時的に立ち入るが、放射線業務に常時従事していない労働者に対しては、健康診断を行う必要はない。","放射線業務歴のない者を雇い入れて放射線業務に就かせるときに行う健康診断において、医師が必要でないと認めるときは、「白血球数及び白血球百分率の検査」を除く他の検査項目の全部又は一部について省略することができる。","定期の健康診断において、医師が必要でないと認めるときは、「被ばく歴の有無の調査及びその評価」を除く他の検査項目の全部又は一部について省略することができる。","事業場において実施した健康診断の結果、健康診断の項目に異常の所見があると診断された労働者については、健康を保持するため必要な措置について、健康診断が行われた日から3か月以内に、医師の意見を聴かなければならない。","健康診断の結果に基づき、電離放射線健康診断個人票を作成し、原則として、30年間保存しなければならない。",b,"雇入れ時の健康診断で省略できないのは「被ばく歴の有無の調査及びその評価」と「白血球数及び白血球百分率の検査」である。(2)は「白血球数及び白血球百分率の検査」を除く他の検査項目を省略できるとしているが、実際は「被ばく歴の有無」も省略できない。"
8,"工業用の特定エックス線装置を用いて放射線装置室で透視を行うときに講ずべき措置について述べた次の文中の[ ]内に入れるAからCの語句又は数値の組合せとして、労働安全衛生関係法令上、正しいものは(1)〜(5)のうちどれか。ただし、エックス線の照射中に透視作業従事労働者の身体の一部が当該装置の内部に入るおそれがあるものとする。「利用線錐中の受像器を通過したエックス線の空気中の[A]が、エックス線管の焦点から[B]mの距離において、[C]μGy/h以下になるようにすること。」","吸収線量・1・17.4","吸収線量・1・30","吸収線量・5・30","空気カーマ率・1・17.4","空気カーマ率・5・17.4",d,"利用線錐中の受像器を通過したエックス線の空気中の空気カーマ率が、エックス線管の焦点から1mの距離において、17.4μGy/h以下になるようにする。"
9,"次のAからDの場合について、所轄労働基準監督署長にその旨又はその結果を報告しなければならないものの全ての組合せは、(1)〜(5)のうちどれか。A エックス線作業主任者を選任したとき。B 労働者数が25人の事業場で、電離放射線障害防止規則に基づく定期の電離放射線健康診断を行ったとき。C 放射線装置室内の法令に基づき設けられた遮蔽物がエックス線の照射中に破損し、それによって受ける実効線量が15mSvを超えるおそれのある区域は生じていないが、照射を直ちに停止することが困難な事故が発生したとき。D 放射線装置室の使用を廃止したとき。","A, B","A, C","A, C, D","B, C","B, C, D",d,"報告が必要なのはB（定期健康診断結果報告）とC（事故報告）である。Aは選任報告不要、Dは廃止届出不要。"
10,"エックス線装置を用いて行う透過写真撮影の業務に常時従事する労働者50人を含めて、800人の労働者を常時使用する製造業の事業場の安全衛生管理体制として、労働安全衛生関係法令上、選任しなければならないものに該当しないものは次のうちどれか。ただし、その他の有害業務はなく、衛生管理者及び産業医の選任の特例はないものとする。","総括安全衛生管理者","専属の産業医","3人以上の衛生管理者","専任の衛生管理者","衛生工学衛生管理者免許を有する衛生管理者",b,"800人の製造業では専属の産業医は必要ない（1,000人以上または有害業務500人以上で必要）。"
