id,question,choice_a,choice_b,choice_c,choice_d,choice_e,answer,explanation
1,"放射線に関連した量とその単位の組合せとして、誤っているものは次のうちどれか。","電流 ……… A","線減弱係数 ……… m^-1","LET ……… keV・μm^-1","エネルギー・フルエンス ……… J・sec^-1","W値 ……… eV",d,"エネルギー・フルエンスの単位はJ/m²（J・m^-2）であり、J・sec^-1ではない。J・sec^-1は仕事率（ワット）の単位である。"
2,"次のAからDの放射線検出器について、その出力が放射線のエネルギーの情報を含むものの全ての組合せは(1)〜(5)のうちどれか。A 比例計数管 B GM計数管 C 半導体検出器 D シンチレーション検出器","A, B","A, C, D","B, C","B, C, D","A, D",b,"比例計数管、半導体検出器、シンチレーション検出器はエネルギー情報を含む出力を得られる。GM計数管は入射放射線のエネルギーに関係なく一定の出力パルスを出すため、エネルギー情報を含まない。"
3,"被ばく線量測定に用いる放射線測定器とこれに関係の深い用語との組合せとして、誤っているものは次のうちどれか。","蛍光ガラス線量計 ……… 写真作用","電離箱式PD型ポケット線量計 ……… 充電","熱ルミネセンス線量計（TLD） ……… グロー曲線","半導体式ポケット線量計 ……… 空乏層","光刺激ルミネセンス（OSL）線量計 ……… 可視光刺激",a,"蛍光ガラス線量計は写真作用ではなく、紫外線照射による蛍光発光を利用している。写真作用はフィルムバッジに関係する用語。"
4,"GM計数管に関する次の記述のうち、誤っているものはどれか。","GM計数管には、放射線によって生じる放電を短時間で消滅させるため、消滅ガスとして、少量のアルコール又はハロゲンガスが混入される。","GM計数管では、出力パルスの電圧が他の検出器に比べ、格段に大きいという特徴がある。","GM計数管では、入射する放射線が非常に多くなると、弁別レベル以下の放電が連続し、出力パルスが得られなくなる現象が起こる。","GM計数管の不感時間は、100〜200μs程度である。","GM計数管は、プラトー部分の中心部から少し高い印加電圧で使用する。",e,"GM計数管は、プラトー部分の中心部から少し低い印加電圧で使用する。高い電圧では連続放電の危険がある。"
5,"エックス線の測定に用いるNaI(Tl)シンチレーション検出器に関する次の記述のうち、誤っているものはどれか。","蛍光物質にエックス線などの放射線が入射したときに放射される蛍光を利用した放射線検出器である。","シンチレータに用いられるNaI(Tl)は潮解性があるため、アルミニウムのケースなどに納められている。","エネルギー特性は電離箱に比べて劣るが、微弱線量率のエックス線の測定に適している。","光電子増倍管から得られる出力パルス波高は、入射エックス線の線量率に比例する。","1つの光子の発生に必要な平均エネルギーは、約30eVである。",d,"光電子増倍管から得られる出力パルス波高は、入射エックス線のエネルギーに比例する。線量率ではない。"
6,"放射線の測定などについての用語に関する次の記述のうち、誤っているものはどれか。","放射線計測において、測定しようとする放射線以外の、自然又は人工線源からの放射線を、バックグラウンド放射線という。","測定器の指針が安定せず、ゆらぐ現象をフェーディングという。","半導体検出器において、荷電粒子が半導体中で1個の電子・正孔対を作るのに必要なエネルギーをε値といい、シリコン結晶の場合は約3.6eVである。","放射線測定器によって一定時間放射線を測定したときの計数値のばらつき(分布)は、ポアソン分布となる。","出力パルスの計数を計測する放射線測定器を用いて低線量率の放射線を測定するときは、時定数を大きく設定して測定する。",b,"フェーディングは、放射線測定器に蓄積された情報が時間とともに減衰する現象をいう。指針のゆらぎ（ふらつき）はフェーディングではない。"
7,"熱ルミネセンス線量計（TLD）と蛍光ガラス線量計（RPLD）とを比較した次の記述のうち、誤っているものはどれか。","線量読み取りのためには、TLD、RPLDの双方とも、専用の読み取り装置が必要である。","RPLDの方が、TLDより素子間の感度のばらつきが少ない。","線量を読み取るための発光は、TLDでは加熱により、RPLDでは緑色レーザー光照射により行われる。","線量の読み取りは、RPLDでは繰り返し行うことができるが、TLDでは、線量を読み取ることによって素子から情報が消失してしまうため、1回しか行うことができない。","素子の再使用は、TLD、RPLDの双方とも、使用後、高温下でのアニーリングにより可能となる。",c,"RPLDでは紫外線照射により発光させる。緑色レーザー光ではない。"
8,"GM計数管式サーベイメータによりエックス線を測定し、1,200cpsの計数率を得た。GM計数管の分解時間が100μsであるとき、数え落としの値(cps)に最も近いものは次のうちどれか。","60","80","100","120","160",e,"真の計数率n = m/(1-mτ)、数え落とし = n - m。m=1200cps、τ=100μs=0.0001sとすると、n=1200/(1-0.12)≒1364cps、数え落とし≒164cps。最も近いのは160。"
9,"あるエックス線について、サーベイメータの前面に鉄板を置き、半価層を測定したところ4.5mmであった。このエックス線のおおよそのエネルギーは(1)〜(5)のうちどれか。ただし、エックス線のエネルギーと鉄の質量減弱係数との関係は下図のとおりとし、log(e)2=0.69とする。また、この鉄板の密度は7.8g/cm³とする。","60keV","70keV","80keV","90keV","110keV",e,"半価層h=0.693/μから線減弱係数μを求め、質量減弱係数μ/ρを計算してグラフからエネルギーを読み取ると、約110keVとなる。"
10,"放射線防護のための被ばく線量の算定に関する次のAからDの記述について、正しいものの全ての組合せは(1)〜(5)のうちどれか。A 外部被ばくによる実効線量は、法令に基づき放射線測定器を装着した各部位の1cm線量当量及び70μm線量当量を用いて算定する。B 妊娠中の女性の腹部表面の等価線量は、腹・大腿部における1cm線量当量により算定する。C 皮膚の等価線量は、エックス線については70μm線量当量により算定する。D 眼の水晶体の等価線量は、エックス線については1mm線量当量により算定する。","A, B, C","A, C, D","A, D","B, C","B, D",d,"Bが正しい（腹部表面の等価線量は1cm線量当量で算定）。Cが正しい（皮膚は70μm線量当量）。Aは誤り（実効線量は1cm線量当量のみで算定）。Dは誤り（眼の水晶体は1cm線量当量または70μm線量当量の適切な方）。"
