id,question,choice_a,choice_b,choice_c,choice_d,choice_e,answer,explanation
1,"放射線の量に関する次の記述のうち、誤っているものはどれか。","吸収線量は、物理量である。","カーマは、物理量である。","1cm線量当量は、実用量である。","等価線量は、実用量である。","放射線に関する量は、その目的に応じて異なった量が定義されており、物理量、防護量及び実用量の三つの量に大別される。",d,"等価線量は実用量ではなく、防護量である。"
2,"放射線検出器とそれに関係の深い用語との組合せとして、誤っているものは次のうちどれか。","電離箱 ……… 飽和領域","半導体検出器 ……… 電子・正孔対","GM計数管 ……… 消滅ガス","光刺激ルミネセンス線量計 ……… 輝尽性蛍光","シンチレーション検出器 ……… グロー曲線",e,"グロー曲線は熱ルミネセンス線量計（TLD）に関係する用語であり、シンチレーション検出器ではない。"
3,"気体の電離を利用する放射線検出器の印加電圧と生じる電離電流の特性に対応した次のAからDの領域について、出力電流の大きさが入射放射線による一次電離量に比例し、放射線の検出に利用されるものの組合せは(1)～(5)のうちどれか。A 再結合領域 B 電離箱領域 C 比例計数管領域 D GM計数管領域","A、B","A、C","B、C","B、D","C、D",c,"電離箱領域と比例計数管領域では、出力電流の大きさが入射放射線による一次電離量に比例する。"
4,"サーベイメータに関する次の記述のうち、誤っているものはどれか。","GM計数管式サーベイメータを用いて線量率の高い箇所を測定する場合は、時定数を小さく設定する。","電離箱式サーベイメータは、一般に、湿度の影響により零点の移動が起こりやすいので、測定に当たり留意する必要がある。","電離箱式サーベイメータは、感度が良く、自然放射線レベルの低線量率の放射線も検出することができるので、施設周辺の微弱な漏えい線の有無を調べるのに適している。","NaI(Tl)シンチレーション式サーベイメータは、30keV程度のエネルギーのエックス線の測定には適していない。","半導体式サーベイメータは、20keV程度のエネルギーのエックス線の測定には適していない。",c,"電離箱式サーベイメータは感度が低く、自然放射線レベルの低線量率の放射線を検出するのには適していない。施設周辺の微弱な漏えい線の有無を調べるにはシンチレーション式が適している。"
5,"GM計数管式サーベイメータによる測定に関する次の文中の[ ]内に入れるAの語句及びBの数値の組合せとして、適切なものは(1)～(5)のうちどれか。「GM計数管式サーベイメータにより放射線を測定し、490cpsの計数率を得た。GM計数管の[A]時間が200μsであるとき、真の計数率は、約[B]cpsである。」","A:不感 B:510","A:不感 B:540","A:回復 B:540","A:分解 B:510","A:分解 B:540",e,"分解時間τ=200μs=0.0002sのとき、真の計数率n=m/(1-mτ)=490/(1-490×0.0002)=490/0.902≒543。約540cpsである。"
6,"熱ルミネセンス線量計(TLD)と蛍光ガラス線量計(RPLD)とを比較した次のAからDの記述について、正しいものの組合せは(1)～(5)のうちどれか。A TLDの方が、RPLDより素子間の感度のばらつきが少ない。B 線量を読み取るための発光は、TLDでは加熱により、RPLDでは紫外線照射により行われる。C 線量の読み取りは、TLDでは何度でも繰り返し行うことができるが、RPLDでは線量を読み取ると素子から情報が消失してしまうため、1回しか行うことができない。D 素子の再利用は、RPLD、TLDの双方とも、アニーリング処理を行うことにより可能となる。","A、B","A、C","B、C","B、D","C、D",d,"BとDが正しい。Aは誤り（RPLDの方がばらつきが少ない）、Cは逆（RPLDは繰り返し読み取り可能、TLDは1回）。"
7,"放射線の測定などについての用語に関する次の記述のうち、誤っているものはどれか。","気体に放射線を照射したとき、1個のイオン対を作るのに必要な平均エネルギーをW値といい、これは気体の種類によって異なる値となり、また同じ気体中では放射線のエネルギーにあまり依存しない。","GM計数管の特性曲線において、印加電圧を上げても計数率がほとんど変わらない範囲をプラトーといい、プラトーが長く、傾斜が小さいほど、計数管としての性能は良い。","線量率計の検出感度が、放射線のエネルギーによって異なる性質をエネルギー依存性という。","測定器の指針が安定せず、ゆらぐ現象をフェーディングという。","放射線測定器によって一定時間放射線を測定したときの計数値のばらつき(分布)は、ポアソン分布となる。",d,"フェーディングは、放射線測定器に蓄積された情報が時間とともに減衰する現象をいう。指針のゆらぎはフェーディングではない。"
8,"男性の放射線業務従事者が、エックス線装置を用い、肩から大腿部までを覆う防護衣を着用して放射線業務を行った。労働安全衛生関係法令に基づき、胸部(防護衣の下)、頭・頸部及び手指の計3か所に放射線測定器を装着して、被ばく線量を測定した結果、胸部の1cm線量当量は0.4mSv、70μm線量当量は0.5mSv、頭・頸部の1cm線量当量は1.3mSv、70μm線量当量は1.4mSv、手指の70μm線量当量は1.5mSvであった。この業務に従事した間に受けた外部被ばくによる実効線量の算定値に最も近いものは(1)～(5)のうちどれか。ただし、防護衣の中は均等被ばくとみなし、外部被ばくによる実効線量は、HEE=0.08Ha+0.44Hb+0.45Hc+0.03Hmにより算出するものとする。","0.2mSv","0.3mSv","0.4mSv","0.5mSv","0.6mSv",d,"Ha=1.3、Hb=0.4、Hc=0.4、Hm=1.3として計算。HEE=0.08×1.3+0.44×0.4+0.45×0.4+0.03×1.3=0.104+0.176+0.18+0.039=0.499≒0.5mSv"
9,"あるサーベイメータを用いて1分間エックス線を測定し、1,000cpsの計数率を得た。この計数率の標準偏差(cps)に最も近い値は、次のうちどれか。ただし、バックグラウンドは無視するものとする。","0.5","1.1","4","13","32",c,"1分間=60秒で1000cps×60秒=60000カウント。標準偏差=√60000≒245カウント。計数率の標準偏差=245/60≒4cps"
10,"標準線源から1mの距離において、電離箱式サーベイメータの積算モードでの校正を行ったところ、指針が目盛りスケール上のある目盛りまで振れるのに24秒かかった。この目盛りの正しい値は次のうちどれか。ただし、この標準線源から1mの距離における1cm線量当量率は3mSv/hとする。","10μSv","15μSv","20μSv","30μSv","45μSv",c,"3mSv/h=3000μSv/h。24秒での積算線量=3000×(24/3600)=3000×0.00667=20μSv"
