id,question,choice_a,choice_b,choice_c,choice_d,choice_e,answer,explanation
1,"放射線感受性に関する次の記述のうち、誤っているものはどれか。","小腸の絨毛先端部の細胞は、腺窩細胞(クリプト細胞)より放射線感受性が高い。","神経組織の放射線感受性は成人では低いが、胎児では高い。","皮膚の基底細胞層は、角質層より放射線感受性が高い。","細胞周期の中で、G1期(DNA合成準備期)初期は、G2期(分裂準備期)後期より放射線感受性が低い。","細胞周期の中で、S期(DNA合成期)初期は、S期後期より放射線感受性が高い。",a,"小腸の絨毛先端部の細胞は分化した細胞であり、腺窩細胞（クリプト細胞）より放射線感受性が低い。"
2,"次のAからCの人体の組織・器官について、放射線感受性の高いものから順に並べたものは(1)～(5)のうちどれか。A 皮脂腺 B 小腸粘膜 C 甲状腺","A, B, C","A, C, B","B, A, C","B, C, A","C, A, B",c,"放射線感受性は小腸粘膜が最も高く、次いで皮脂腺、甲状腺の順である。"
3,"放射線の生体影響などに関する次の記述のうち、誤っているものはどれか。","線量率効果とは、同じ線量を照射する場合に、線量率を低くすると、生物効果が小さくなることをいう。","酸素増感比(OER)は、酸素が存在しない状態と存在する状態とを比較し、同じ生物効果を与える線量の比で、酸素効果の大きさを表すものである。","温度が上昇すると放射線の生物効果は大きくなり、低温になると生物効果は小さくなることを温度効果という。","平均致死線量は、被ばくした集団のうち50％の個体が一定の期間内に死亡する線量である。","組織加重係数は、各組織・臓器の確率的影響に対する相対的な放射線感受性を表す係数であり、組織加重係数の合計は1である。",d,"平均致死線量ではなく、半致死線量（LD50）が被ばくした集団のうち50％の個体が一定の期間内に死亡する線量である。"
4,"エックス線の直接作用と間接作用に関する次の記述のうち、正しいものはどれか。","エックス線光子と生体内の水分子を構成する原子との相互作用の結果生成されたラジカルが、直接、生体高分子に損傷を与える作用が直接作用である。","エックス線光子によって生じた二次電子が、生体高分子の電離又は励起を行うことによって、生体高分子に損傷を与える作用が間接作用である。","低LET放射線が生体に与える影響は、間接作用によるものより直接作用によるものの方が大きい。","生体中にシステイン、システアミンなどのSH基を有する化合物が存在すると放射線効果が軽減されることは、主に直接作用により説明される。","溶液中の酵素の濃度を変えて一定線量のエックス線を照射するとき、酵素の全分子のうち、エックス線の直接作用によって不活性化される分子の占める割合は、酵素の濃度によらず一定である。",e,"直接作用による不活性化の割合は酵素濃度に依存せず一定である。"
5,"生物効果比(RBE)に関する次のAからDの記述について、正しいものの組合せは(1)～(5)のうちどれか。A RBEを求めるときの基準放射線としては、通常、エックス線やガンマ線が用いられる。B エックス線は、そのエネルギーの高低にかかわらず、RBEが1より小さい。C RBEの値は、同じ線質の放射線であっても、着目する生物効果、線量率などの条件によって異なる。D RBEは、放射線の線エネルギー付与(LET)が高くなるにつれて増大し、最大値に達した後はほぼ一定の値となる。","A、C","A、D","B、C","B、D","C、D",a,"AとCが正しい。Bは誤り（エックス線のRBEは約1）。Dは誤り（最大値に達した後は減少する）。"
6,"放射線による身体的影響に関する次のAからDの記述について、正しいものの組合せは(1)～(5)のうちどれか。A 身体的影響には、その重篤度が、被ばく線量に依存するものとしないものがある。B 晩発影響に共通する特徴は、影響を発生させる被ばく線量に、しきい値が無いことである。C 放射線による白血病は、被ばく線量が大きくなるほど潜伏期が短くなる。D 再生不良性貧血は、2Gy程度の被ばくにより、末梢血液中の全ての血球が著しく減少し回復不可能になった状態をいい、潜伏期は1週間以内で、早期影響に分類される。","A、C","A、D","B、C","B、D","C、D",a,"AとCが正しい。Bは誤り（確定的影響にはしきい値がある）。Dは誤り（再生不良性貧血は晩発影響）。"
7,"エックス線被ばくによる末梢血液中の血球の変化に関する次の記述のうち、誤っているものはどれか。","被ばくにより赤色骨髄中の幹細胞が障害を受けると、末梢血液中の血球数は減少していく。","末梢血液中の赤血球の減少は貧血を招き、血小板の減少は出血傾向を示す原因となる。","末梢血液中の白血球のうち、リンパ球は他の成分より放射線感受性が高く、被ばく直後から減少が現れる。","末梢血液中のリンパ球を除く白血球は、被ばく直後は一時的に増加が認められることがある。","末梢血液中の血球のうち、被ばく後減少が現れるのが最も遅いものは血小板である。",e,"被ばく後減少が現れるのが最も遅いものは赤血球であり、血小板ではない。"
8,"放射線の被ばくによる確率的影響及び確定的影響に関する次の記述のうち、正しいものはどれか。","確定的影響では、被ばく線量と障害の発生率との関係は二次曲線グラフで示される。","確率的影響では、被ばく線量が増加しても、障害の重篤度は変わらない。","確率的影響の発生を完全に防止することは、放射線防護の目的の一つである。","確定的影響の程度は、実効線量により評価される。","遺伝的影響は、確定的影響に分類される。",b,"確率的影響では、被ばく線量が増加しても障害の重篤度は変わらない（発生確率が増加する）。"
9,"放射線による遺伝的影響等に関する次の記述のうち、正しいものはどれか。","生殖腺が被ばくしたときに生じる障害は、全て遺伝的影響である。","親の体細胞に突然変異が生じても、子孫に遺伝的影響が生じるおそれはない。","胎内被ばくを受け、出生した子供にみられる発育遅延は、遺伝的影響である。","染色体異常の種類には、放射線の照射を受けた細胞周期に応じて、フレームシフト、置換などがある。","倍加線量は、放射線による遺伝的影響を推定する指標とされ、その値が小さいほど遺伝的影響は起こりにくい。",b,"親の体細胞に突然変異が生じても、生殖細胞ではないため、子孫に遺伝的影響が生じるおそれはない。"
10,"次のAからDの放射線影響について、その発症にしきい線量が存在するものの全ての組合せは(1)～(5)のうちどれか。A 白血球減少 B 永久不妊 C 甲状腺がん D 脱毛","A、B、D","A、C","A、C、D","B、C","B、D",a,"しきい線量が存在するのは確定的影響である。白血球減少、永久不妊、脱毛は確定的影響でしきい線量がある。甲状腺がんは確率的影響でしきい線量はない。"
