id,question,choice_a,choice_b,choice_c,choice_d,choice_e,answer,explanation
1,工業用エックス線装置のエックス線管及びエックス線の発生に関する次の記述のうち、正しいものはどれか。,エックス線管の管電流は、陰極から陽極に向かって流れる。,陰極のフィラメント端子間の電圧は、フィラメント加熱用の降圧変圧器を用いて10～20V程度にされている。,陽極のターゲットにタングステンが多く用いられる主な理由は、熱伝導率が高く、加工しやすいことである。,陽極のターゲット上のエックス線が発生する部分を実効焦点といい、これをエックス線束の利用方向から見たものを実焦点という。,陽極のターゲットに衝突する直前の電子の運動エネルギーは、管電圧の２乗に比例する。,b,フィラメント端子間の電圧は降圧変圧器を用いて10～20V程度にされている。
2,特性エックス線に関する次の記述のうち、正しいものはどれか。,特性エックス線の波長は、ターゲット元素の原子番号が大きくなると長くなる。,特性エックス線は、連続スペクトルを示す。,管電圧が、K系列の特性エックス線を発生させるのに必要な最小値であるK励起電圧を下回るときは、他の系列の特性エックス線も発生することはない。,K殻電子が電離されたことによって特性エックス線が発生することをオージェ効果という。,K系列の特性エックス線は、エックス線管の管電圧を上げると強度が増大するが、その波長は変わらない。,e,特性エックス線の波長はターゲット元素に固有であり、管電圧を上げても波長は変化しない。強度は増大する。
3,エックス線装置について、次のAからDのように条件を変化させるとき、発生する連続エックス線の全強度を大きくするものの全ての組合せはどれか。A:管電流は一定にして管電圧を2倍にする。B:管電圧は1/2にして管電流を2倍にする。C:管電圧は2倍にして管電流を1/2にする。D:管電圧及び管電流は一定にしてターゲットを原子番号のより大きな元素にする。,A、B,A、C、D,A、D,B、C,B、C、D,b,連続エックス線の全強度は管電圧の2乗と管電流とターゲット原子番号に比例する。Aは4倍、Cは2倍、Dも増加するので強度が大きくなる。
4,エックス線の散乱に関する次の文中の空欄A、B、Cに入る語句の組合せとして正しいものはどれか。鋼板とアルミニウム板の後方散乱線を比較すると[A]の方が大きく、鋼板の散乱角120度と135度を比較すると[B]の方が大きく、鋼板の散乱角30度と60度を比較すると[C]の方が大きい。,鋼板・120度・60度,鋼板・135度・30度,鋼板・135度・60度,アルミニウム板・120度・60度,アルミニウム板・135度・30度,e,後方散乱線は原子番号の小さい物質で大きく、後方散乱は135度付近で最大、前方散乱は小さい角度ほど大きい。
5,単一エネルギーで太い線束のエックス線が物質を透過するときの減弱及び再生係数(ビルドアップ係数)に関する次の記述のうち、誤っているものはどれか。,再生係数は、1未満となることはない。,再生係数は、線束の広がりが大きいほど大きくなる。,再生係数は、入射エックス線のエネルギーや物質の種類によって異なる。,再生係数は、物質の厚さが厚くなるほど大きくなる。,再生係数は、入射エックス線の線量率が高くなるほど小さくなる。,e,再生係数は線量率には依存しない。エネルギー、物質の種類、厚さ、照射面積などに依存する。
6,エックス線と物質との相互作用に関する次の記述のうち、正しいものはどれか。,コンプトン効果とは、原子のK殻、L殻等の内殻電子がエックス線光子のエネルギーの一部を吸収して原子の外に飛び出し、入射エックス線が散乱される現象である。,コンプトン効果は、必ず特性エックス線の発生を伴う。,光電効果が起こる確率は、物質の原子番号が大きくなるほど増大する。,光電効果により光子エネルギーが原子に吸収されて光子は消滅し、このとき入射エックス線に等しい運動エネルギーを持つ電子が放出される。,電子対生成は、入射エックス線のエネルギーが、電子1個の静止質量に相当するエネルギー以上であるときに生じる。,c,光電効果が起こる確率は物質の原子番号が大きくなるほど増大する。
7,単一エネルギーの細いエックス線束が物体を透過するときの減弱に関する次の記述のうち、正しいものはどれか。,半価層の値は、1MeV程度以下のエネルギー範囲では、エックス線のエネルギーが高くなるほど小さくなる。,軟エックス線の場合は、硬エックス線の場合より、半価層が厚い。,鉄の半価層は、鉛の半価層より小さい。,半価層h(cm)は、減弱係数μ(cm^-1)に反比例する。,半価層の10倍の厚さでは、エックス線の強度は20分の1になる。,d,半価層h=0.693/μであり、減弱係数に反比例する。
8,ろ過板に関する次の文中の空欄A、B、Cに入る語句の組合せとして正しいものはどれか。「ろ過板は、照射口に取り付けて、透過試験に役立たない[A]エックス線(波長の[B]エックス線)を取り除き、無用な散乱線を減少させるために使用する。しかし、[C]などで[A]エックス線そのものを利用する場合には、ろ過板は使用しない。」,硬・長い・エックス線回折装置,硬・短い・蛍光エックス線分析装置,軟・長い・蛍光エックス線分析装置,軟・長い・エックス線CT装置,軟・短い・エックス線回折装置,c,ろ過板は軟エックス線(波長の長いエックス線)を除去する。蛍光エックス線分析装置では軟エックス線を利用する。
9,エックス線装置を用いて鋼板の透過写真撮影を行うとき、エックス線管の焦点から3mの距離のP点における写真撮影中の1cm線量当量率は0.2mSv/hである。露出時間が1枚につき110秒の写真を週400枚撮影するとき、管理区域の境界線外となるQ点までの最小距離はどれか。ただし、3か月は13週とする。,10m,12m,15m,20m,25m,c,管理区域の基準(1.3mSv/3月)から計算すると15mが最小距離となる。
10,あるエックス線装置のエックス線管の焦点から1m離れた点における1cm線量当量率は16mSv/minであった。厚さ8mmの鋼板及び厚さ40mmのアルミニウム板にそれぞれ別々に照射したところ透過したエックス線の1cm線量当量率はいずれも4mSv/minであった。厚さ14mmの鋼板と厚さ30mmのアルミニウム板を重ね合わせ44mmとした板に照射した場合、透過後の1cm線量当量率はどれか。,0.1mSv/min,0.5mSv/min,1.0mSv/min,1.5mSv/min,2.0mSv/min,b,半価層の計算から、0.5mSv/minとなる。
